"Município";"Unidade isolamento";"UTI adulto I";"UTI adulto II";"UTI adulto III";"Unidade de cuidados intermed adulto";"Total"
"250170 Barra de São Miguel";-;-;-;-;-;-
"250180 Bayeux";-;-;-;-;-;-
"250190 Belém";-;-;-;-;-;-
"250200 Belém do Brejo do Cruz";-;-;-;-;-;-
"250205 Bernardino Batista";-;-;-;-;-;-
"250210 Boa Ventura";-;-;-;-;-;-
"250215 Boa Vista";-;-;-;-;-;-
"250220 Bom Jesus";-;-;-;-;-;-
"250230 Bom Sucesso";-;-;-;-;-;-
"250240 Bonito de Santa Fé";1;-;-;-;-;1
"250250 Boqueirão";-;-;-;-;-;-
"250270 Borborema";-;-;-;-;-;-
"250280 Brejo do Cruz";-;-;-;-;-;-
"250290 Brejo dos Santos";-;-;-;-;-;-
"250300 Caaporã";-;-;-;-;-;-
"250310 Cabaceiras";-;-;-;-;-;-
"250320 Cabedelo";-;-;-;-;-;-
"250330 Cachoeira dos Índios";-;-;-;-;-;-
"250340 Cacimba de Areia";-;-;-;-;-;-
"250350 Cacimba de Dentro";-;-;-;-;-;-
"250355 Cacimbas";-;-;-;-;-;-
"250360 Caiçara";-;-;-;-;-;-
"250370 Cajazeiras";5;-;7;-;-;12
"250375 Cajazeirinhas";-;-;-;-;-;-
"250380 Caldas Brandão";-;-;-;-;-;-
"250390 Camalaú";-;-;-;-;-;-
"250400 Campina Grande";9;38;88;-;15;150
"250403 Capim";-;-;-;-;-;-
"250407 Caraúbas";-;-;-;-;-;-
"250410 Carrapateira";-;-;-;-;-;-
"250415 Casserengue";-;-;-;-;-;-
"250420 Catingueira";-;-;-;-;-;-
"250430 Catolé do Rocha";-;-;-;-;-;-
"250435 Caturité";-;-;-;-;-;-
"250440 Conceição";1;-;-;-;-;1
"250450 Condado";-;-;-;-;-;-
"250460 Conde";-;-;-;-;-;-
"250470 Congo";-;-;-;-;-;-
"250480 Coremas";1;-;-;-;-;1
"250485 Coxixola";-;-;-;-;-;-
"250490 Cruz do Espírito Santo";-;-;-;-;-;-
"250500 Cubati";-;-;-;-;-;-
"250510 Cuité";-;-;-;-;-;-
"250523 Cuité de Mamanguape";-;-;-;-;-;-
"250520 Cuitegi";-;-;-;-;-;-
"250527 Curral de Cima";-;-;-;-;-;-
"250530 Curral Velho";-;-;-;-;-;-
"250535 Damião";-;-;-;-;-;-
"250540 Desterro";-;-;-;-;-;-
"250560 Diamante";-;-;-;-;-;-
"250570 Dona Inês";1;-;-;-;-;1
"250580 Duas Estradas";-;-;-;-;-;-
"250590 Emas";-;-;-;-;-;-
"250600 Esperança";2;-;-;-;-;2
"250610 Fagundes";-;-;-;-;-;-
"250620 Frei Martinho";-;-;-;-;-;-
"250625 Gado Bravo";-;-;-;-;-;-
"250630 Guarabira";3;-;6;-;-;9
"250640 Gurinhém";-;-;-;-;-;-
"250650 Gurjão";-;-;-;-;-;-
"250660 Ibiara";-;-;-;-;-;-
"250260 Igaracy";-;-;-;-;-;-
"250670 Imaculada";-;-;-;-;-;-
"250680 Ingá";-;-;-;-;-;-
"250690 Itabaiana";-;-;-;-;-;-
"250700 Itaporanga";-;-;-;-;-;-
"250710 Itapororoca";-;-;-;-;-;-
"250720 Itatuba";-;-;-;-;-;-
"250730 Jacaraú";-;-;-;-;-;-
"250740 Jericó";-;-;-;-;-;-
"250750 João Pessoa";48;8;145;61;7;269
"251365 Joca Claudino";-;-;-;-;-;-
"250760 Juarez Távora";-;-;-;-;-;-
"250770 Juazeirinho";-;-;-;-;-;-
"250780 Junco do Seridó";-;-;-;-;-;-
"250790 Juripiranga";-;-;-;-;-;-
"250800 Juru";-;-;-;-;-;-
"250810 Lagoa";-;-;-;-;-;-
"250820 Lagoa de Dentro";-;-;-;-;-;-
"250830 Lagoa Seca";-;-;-;-;-;-
"250840 Lastro";2;-;-;-;-;2
"250850 Livramento";-;-;-;-;-;-
"250855 Logradouro";-;-;-;-;-;-
"250860 Lucena";-;-;-;-;-;-
"250870 Mãe d'Água";-;-;-;-;-;-
"250880 Malta";-;-;-;-;-;-
"250890 Mamanguape";-;-;10;-;-;10
"250900 Manaíra";-;-;-;-;-;-
"250905 Marcação";-;-;-;-;-;-
"250910 Mari";-;-;-;-;-;-
"250915 Marizópolis";-;-;-;-;-;-
"250920 Massaranduba";1;1;-;-;-;2
"250930 Mataraca";-;-;-;-;-;-
"250933 Matinhas";-;-;-;-;-;-
"250937 Mato Grosso";-;-;-;-;-;-
"250939 Maturéia";-;-;-;-;-;-
"250940 Mogeiro";-;-;-;-;-;-
"250950 Montadas";-;-;-;-;-;-
"250960 Monte Horebe";-;-;-;-;-;-
"250970 Monteiro";2;-;-;-;-;2
"250980 Mulungu";-;-;-;-;-;-
"250990 Natuba";-;-;-;-;-;-
"251000 Nazarezinho";-;-;-;-;-;-
"251010 Nova Floresta";-;-;-;-;-;-
"251020 Nova Olinda";-;-;-;-;-;-
"251030 Nova Palmeira";-;-;-;-;-;-
"251040 Olho d'Água";-;-;-;-;-;-
"251050 Olivedos";-;-;-;-;-;-
"251060 Ouro Velho";-;-;-;-;-;-
"251065 Parari";-;-;-;-;-;-
"251070 Passagem";-;-;-;-;-;-
"251080 Patos";2;6;12;-;8;28
"251090 Paulista";-;-;-;-;-;-
"251100 Pedra Branca";-;-;-;-;-;-
"251110 Pedra Lavrada";-;-;-;-;-;-
"251120 Pedras de Fogo";5;-;-;-;-;5
"251272 Pedro Régis";-;-;-;-;-;-
"251130 Piancó";-;-;10;10;-;20
"251140 Picuí";-;-;-;-;-;-
"251150 Pilar";-;-;-;-;-;-
"251160 Pilões";-;-;-;-;-;-
"251170 Pilõezinhos";-;-;-;-;-;-
"251180 Pirpirituba";-;-;-;-;-;-
"251190 Pitimbu";-;-;-;-;-;-
"251200 Pocinhos";-;-;-;-;-;-
"251203 Poço Dantas";-;-;-;-;-;-
"251207 Poço de José de Moura";-;-;-;-;-;-
"251210 Pombal";-;-;6;-;-;6
"251220 Prata";-;-;-;-;-;-
"251230 Princesa Isabel";1;-;-;-;-;1
"251240 Puxinanã";-;-;-;-;-;-
"251250 Queimadas";1;-;-;-;-;1
"251260 Quixabá";-;-;-;-;-;-
"251270 Remígio";-;-;-;-;-;-
"251274 Riachão";-;-;-;-;-;-
"251275 Riachão do Bacamarte";-;-;-;-;-;-
"251276 Riachão do Poço";-;-;-;-;-;-
"251278 Riacho de Santo Antônio";-;-;-;-;-;-
"251280 Riacho dos Cavalos";-;-;-;-;-;-
"251290 Rio Tinto";-;-;-;-;-;-
"251300 Salgadinho";-;-;-;-;-;-
"251310 Salgado de São Félix";-;-;-;-;-;-
"251315 Santa Cecília";-;-;-;-;-;-
"251320 Santa Cruz";-;-;-;-;-;-
"251330 Santa Helena";-;-;-;-;-;-
"251335 Santa Inês";-;-;-;-;-;-
"251340 Santa Luzia";-;-;-;-;-;-
"251370 Santa Rita";12;-;30;-;-;42
"251380 Santa Teresinha";-;-;-;-;-;-
"251350 Santana de Mangueira";-;-;-;-;-;-
"251360 Santana dos Garrotes";-;-;-;-;-;-
"251385 Santo André";-;-;-;-;-;-
"251392 São Bentinho";-;-;-;-;-;-
"251390 São Bento";-;-;-;-;-;-
"251396 São Domingos";-;-;-;-;-;-
"251394 São Domingos do Cariri";-;-;-;-;-;-
"251398 São Francisco";-;-;-;-;-;-
"251400 São João do Cariri";-;-;-;-;-;-
"250070 São João do Rio do Peixe";-;-;-;-;-;-
"251410 São João do Tigre";-;-;-;-;-;-
"251420 São José da Lagoa Tapada";-;-;-;-;-;-
"251430 São José de Caiana";1;-;-;-;-;1
"251440 São José de Espinharas";-;-;-;-;-;-
"251450 São José de Piranhas";-;-;-;-;-;-
"251455 São José de Princesa";-;-;-;-;-;-
"251460 São José do Bonfim";-;-;-;-;-;-
"251465 São José do Brejo do Cruz";-;-;-;-;-;-
"251470 São José do Sabugi";-;-;-;-;-;-
"251480 São José dos Cordeiros";-;-;-;-;-;-
"251445 São José dos Ramos";-;-;-;-;-;-
"251490 São Mamede";-;-;-;-;-;-
"251500 São Miguel de Taipu";-;-;-;-;-;-
"251510 São Sebastião de Lagoa de Roça";-;-;-;-;-;-
"251520 São Sebastião do Umbuzeiro";-;-;-;-;-;-
"251540 São Vicente do Seridó";-;-;-;-;-;-
"251530 Sapé";-;-;-;-;-;-
"251550 Serra Branca";-;-;-;-;-;-
"251560 Serra da Raiz";-;-;-;-;-;-
"251570 Serra Grande";-;-;-;-;-;-
"251580 Serra Redonda";-;-;-;-;-;-
"251590 Serraria";-;-;-;-;-;-
"251593 Sertãozinho";-;-;-;-;-;-
"251597 Sobrado";-;-;-;-;-;-
"251600 Solânea";-;-;-;-;-;-
"251610 Soledade";-;-;-;-;-;-
"251615 Sossêgo";-;-;-;-;-;-
"251620 Sousa";7;10;6;-;-;23
"251630 Sumé";-;-;-;-;-;-
"251640 Tacima";-;-;-;-;-;-
"251650 Taperoá";2;-;-;-;-;2
"251660 Tavares";-;-;-;-;-;-
"251670 Teixeira";-;-;-;-;-;-
"251675 Tenório";-;-;-;-;-;-
"251680 Triunfo";-;-;-;-;-;-
"251690 Uiraúna";-;-;-;-;-;-
"251700 Umbuzeiro";-;-;-;-;-;-
"251710 Várzea";-;-;-;-;-;-
"251720 Vieirópolis";-;-;-;-;-;-
"250550 Vista Serrana";-;-;-;-;-;-
"251740 Zabelê";-;-;-;-;-;-
"250000 Município ignorado - PB";-;-;-;-;-;-
"260005 Abreu e Lima";-;32;-;-;-;32
"260010 Afogados da Ingazeira";-;-;-;-;-;-
"260020 Afrânio";-;-;-;-;-;-
"260030 Agrestina";-;-;-;-;-;-
"260040 Água Preta";-;-;-;-;-;-
"260050 Águas Belas";-;-;-;-;-;-
"260060 Alagoinha";-;-;-;-;-;-
"260070 Aliança";-;-;-;-;-;-
"260080 Altinho";-;-;-;-;-;-
"260090 Amaraji";-;-;-;-;-;-
"260100 Angelim";-;-;-;-;-;-
"260105 Araçoiaba";-;-;-;-;-;-
"260110 Araripina";-;-;-;-;-;-
"260120 Arcoverde";-;-;13;-;-;13
"260130 Barra de Guabiraba";-;-;-;-;-;-
"260140 Barreiros";2;4;-;-;-;6
"260150 Belém de Maria";-;-;-;-;-;-
"260160 Belém do São Francisco";4;-;-;-;-;4
"260170 Belo Jardim";-;-;-;-;-;-
"260180 Betânia";-;-;-;-;-;-
"260190 Bezerros";-;-;10;-;-;10
"260200 Bodocó";-;-;-;-;-;-
"260210 Bom Conselho";-;-;-;-;-;-
"260220 Bom Jardim";-;-;-;-;-;-
"260230 Bonito";-;-;-;-;-;-
"260240 Brejão";-;-;-;-;-;-
"260250 Brejinho";-;-;-;-;-;-
"260260 Brejo da Madre de Deus";1;-;-;-;-;1
"260270 Buenos Aires";-;-;-;-;-;-
"260280 Buíque";-;-;-;-;-;-
"260290 Cabo de Santo Agostinho";4;10;30;-;-;44
"260300 Cabrobó";-;-;-;-;-;-
"260310 Cachoeirinha";-;-;-;-;-;-
"260320 Caetés";-;-;-;-;-;-
"260330 Calçado";-;-;-;-;-;-
"260340 Calumbi";-;-;-;-;-;-
"260345 Camaragibe";-;-;-;-;-;-
"260350 Camocim de São Félix";-;-;-;-;-;-
"260360 Camutanga";-;-;-;-;-;-
"260370 Canhotinho";-;-;-;-;-;-
"260380 Capoeiras";-;-;-;-;-;-
"260390 Carnaíba";-;-;-;-;-;-
"260392 Carnaubeira da Penha";-;-;-;-;-;-
"260400 Carpina";3;-;-;-;-;3
"260410 Caruaru";21;-;81;-;10;112
"260415 Casinhas";-;-;-;-;-;-
"260420 Catende";-;-;-;-;-;-
"260430 Cedro";-;-;-;-;-;-
"260440 Chã de Alegria";-;-;-;-;-;-
"260450 Chã Grande";-;-;-;-;-;-
"260460 Condado";-;-;-;-;-;-
"260470 Correntes";-;-;-;-;-;-
"260480 Cortês";-;-;-;-;-;-
"260490 Cumaru";-;-;-;-;-;-
"260500 Cupira";-;-;-;-;-;-
"260510 Custódia";3;-;-;-;-;3
"260515 Dormentes";-;-;-;-;-;-
"260520 Escada";-;-;-;-;-;-
"260530 Exu";-;-;-;-;-;-
"260540 Feira Nova";-;-;-;-;-;-
"260545 Fernando de Noronha";-;-;-;-;-;-
"260550 Ferreiros";-;-;-;-;4;4
"260560 Flores";-;-;-;-;-;-
"260570 Floresta";4;-;-;-;-;4
"260580 Frei Miguelinho";-;-;-;-;-;-
"260590 Gameleira";-;-;-;-;-;-
"260600 Garanhuns";-;5;21;-;8;34
"260610 Glória do Goitá";-;-;-;-;-;-
"260620 Goiana";-;-;-;-;-;-
"260630 Granito";1;-;-;-;-;1
"260640 Gravatá";-;-;-;-;-;-
"260650 Iati";-;-;-;-;-;-
"260660 Ibimirim";-;-;-;-;-;-
"260670 Ibirajuba";-;-;-;-;-;-
"260680 Igarassu";-;-;-;-;-;-
"260690 Iguaracy";-;-;-;-;-;-
"260760 Ilha de Itamaracá";-;-;-;-;-;-
"260700 Inajá";-;-;-;-;-;-
"260710 Ingazeira";-;-;-;-;-;-
"260720 Ipojuca";-;-;-;-;-;-
"260730 Ipubi";-;-;-;-;-;-
"260740 Itacuruba";-;-;-;-;-;-
"260750 Itaíba";-;-;-;-;-;-
"260765 Itambé";-;-;-;-;-;-
"260770 Itapetim";-;-;-;-;-;-
"260775 Itapissuma";-;-;-;-;-;-
"260780 Itaquitinga";-;-;-;-;-;-
"260790 Jaboatão dos Guararapes";-;5;50;-;-;55
"260795 Jaqueira";-;-;-;-;-;-
"260800 Jataúba";-;-;-;-;-;-
"260805 Jatobá";-;-;-;-;-;-
"260810 João Alfredo";-;-;-;-;-;-
"260820 Joaquim Nabuco";-;-;-;-;-;-
"260825 Jucati";-;-;-;-;-;-
"260830 Jupi";-;-;-;-;-;-
"260840 Jurema";-;-;-;-;-;-
"260850 Lagoa de Itaenga";-;-;-;-;-;-
"260845 Lagoa do Carro";-;-;-;-;-;-
"260860 Lagoa do Ouro";-;-;-;-;-;-
"260870 Lagoa dos Gatos";-;-;-;-;-;-
"260875 Lagoa Grande";-;-;-;-;-;-
"260880 Lajedo";-;-;-;-;-;-
"260890 Limoeiro";-;-;20;-;-;20
"260900 Macaparana";-;-;-;-;-;-
"260910 Machados";-;-;-;-;-;-
"260915 Manari";-;-;-;-;-;-
"260920 Maraial";-;-;-;-;-;-
"260930 Mirandiba";-;-;-;-;-;-
"261430 Moreilândia";-;-;-;-;-;-
"260940 Moreno";-;-;-;-;-;-
"260950 Nazaré da Mata";1;-;-;-;-;1
"260960 Olinda";-;-;25;-;52;77
"260970 Orobó";-;-;-;-;-;-
"260980 Orocó";-;-;-;-;-;-
"260990 Ouricuri";-;-;10;-;-;10
"261000 Palmares";9;-;30;-;-;39
"261010 Palmeirina";-;-;-;-;-;-
"261020 Panelas";-;-;-;-;-;-
"261030 Paranatama";-;-;-;-;-;-
"261040 Parnamirim";-;-;-;-;-;-
"261050 Passira";-;-;-;-;-;-
"261060 Paudalho";2;-;-;-;-;2
"261070 Paulista";3;10;75;-;-;88
"261080 Pedra";1;-;-;-;-;1
"261090 Pesqueira";-;-;-;-;-;-
"261100 Petrolândia";2;-;-;-;-;2
"261110 Petrolina";1;9;58;-;-;68
"261120 Poção";-;-;-;-;-;-
"261130 Pombos";-;-;-;-;-;-
"261140 Primavera";-;-;-;-;-;-
"261150 Quipapá";-;-;-;-;-;-
"261153 Quixaba";-;-;-;-;-;-
"261160 Recife";75;224;516;133;4;952
"261170 Riacho das Almas";1;-;-;-;-;1
"261180 Ribeirão";-;-;-;-;-;-
"261190 Rio Formoso";-;-;-;-;-;-
"261200 Sairé";-;-;-;-;-;-
"261210 Salgadinho";-;-;-;-;-;-
"261220 Salgueiro";1;-;11;-;-;12
"261230 Saloá";-;-;-;-;-;-
"261240 Sanharó";-;-;-;-;-;-
"261245 Santa Cruz";1;-;-;-;-;1
"261247 Santa Cruz da Baixa Verde";1;-;-;-;-;1
"261250 Santa Cruz do Capibaribe";-;-;-;-;-;-
"261255 Santa Filomena";1;-;-;-;-;1
"261260 Santa Maria da Boa Vista";-;-;-;-;-;-
"261270 Santa Maria do Cambucá";-;-;-;-;-;-
"261280 Santa Terezinha";-;-;-;-;-;-
"261290 São Benedito do Sul";-;-;-;-;-;-
"261300 São Bento do Una";-;-;-;-;-;-
"261310 São Caitano";-;-;-;-;-;-
"261320 São João";-;-;-;-;-;-
"261330 São Joaquim do Monte";-;-;-;-;-;-
"261340 São José da Coroa Grande";-;-;-;-;-;-
"261350 São José do Belmonte";-;-;-;-;-;-
"261360 São José do Egito";-;-;-;-;-;-
"261370 São Lourenço da Mata";-;-;10;-;-;10
"261380 São Vicente Ferrer";-;-;-;-;-;-
"261390 Serra Talhada";3;5;11;-;-;19
"261400 Serrita";-;-;-;-;-;-
"261410 Sertânia";-;-;-;-;-;-
"261420 Sirinhaém";-;-;-;-;-;-
"261440 Solidão";-;-;-;-;-;-
"261450 Surubim";-;-;-;-;-;-
"261460 Tabira";-;-;-;-;-;-
"261470 Tacaimbó";-;-;-;-;-;-
"261480 Tacaratu";-;-;-;-;-;-
"261485 Tamandaré";-;-;-;-;-;-
"261500 Taquaritinga do Norte";-;-;-;-;-;-
"261510 Terezinha";-;-;-;-;-;-
"261520 Terra Nova";-;-;-;-;-;-
"261530 Timbaúba";-;-;-;-;-;-
"261540 Toritama";-;-;-;-;-;-
"261550 Tracunhaém";-;-;-;-;-;-
"261560 Trindade";-;-;-;-;-;-
"261570 Triunfo";-;-;-;-;-;-
"261580 Tupanatinga";-;-;-;-;-;-
"261590 Tuparetama";-;-;-;-;-;-
"261600 Venturosa";-;-;-;-;-;-
"261610 Verdejante";-;-;-;-;-;-
"261618 Vertente do Lério";-;-;-;-;-;-
"261620 Vertentes";-;-;-;-;-;-
"261630 Vicência";-;-;-;-;-;-
"261640 Vitória de Santo Antão";-;-;-;-;-;-
"261650 Xexéu";-;-;-;-;-;-
"260000 Município ignorado - PE";-;-;-;-;-;-
"270010 Água Branca";-;-;-;-;-;-
"270020 Anadia";-;-;-;-;-;-
"270030 Arapiraca";1;25;35;30;-;91
"270040 Atalaia";-;-;-;-;-;-
"270050 Barra de Santo Antônio";-;-;-;-;-;-
"270060 Barra de São Miguel";-;-;-;-;-;-
"270070 Batalha";-;-;-;-;-;-
"270080 Belém";-;-;-;-;-;-
"270090 Belo Monte";-;-;-;-;-;-
"270100 Boca da Mata";-;-;-;-;-;-
"270110 Branquinha";-;-;-;-;-;-
"270120 Cacimbinhas";-;-;-;-;-;-
"270130 Cajueiro";1;-;-;-;-;1
"270135 Campestre";-;-;-;-;-;-
"270140 Campo Alegre";-;-;-;-;-;-
"270150 Campo Grande";-;-;-;-;-;-
"270160 Canapi";-;-;-;-;-;-
"270170 Capela";-;-;-;-;-;-
"270180 Carneiros";-;-;-;-;-;-
"270190 Chã Preta";-;-;-;-;-;-
"270200 Coité do Nóia";-;-;-;-;-;-
"270210 Colônia Leopoldina";-;-;-;-;-;-
"270220 Coqueiro Seco";-;-;-;-;-;-
"270230 Coruripe";1;-;-;10;-;11
"270235 Craíbas";-;-;-;-;-;-
"270240 Delmiro Gouveia";2;-;-;-;-;2
"270250 Dois Riachos";-;-;-;-;-;-
"270255 Estrela de Alagoas";-;-;-;-;-;-
"270260 Feira Grande";-;-;-;-;-;-
"270270 Feliz Deserto";-;-;-;-;-;-
"270280 Flexeiras";-;-;-;-;-;-
"270290 Girau do Ponciano";-;-;-;-;-;-
"270300 Ibateguara";-;-;-;-;-;-
"270310 Igaci";-;-;-;-;-;-
"270320 Igreja Nova";-;-;-;-;-;-
"270330 Inhapi";-;-;-;-;-;-
"270340 Jacaré dos Homens";-;-;-;-;-;-
"270350 Jacuípe";-;-;-;-;-;-
"270360 Japaratinga";-;-;-;-;-;-
"270370 Jaramataia";-;-;-;-;-;-
"270375 Jequiá da Praia";-;-;-;-;-;-
"270380 Joaquim Gomes";-;-;-;-;-;-
"270390 Jundiá";-;-;-;-;-;-
"270400 Junqueiro";1;-;-;-;-;1
"270410 Lagoa da Canoa";-;-;-;-;-;-
"270420 Limoeiro de Anadia";-;-;-;-;-;-
"270430 Maceió";19;42;121;11;-;193
"270440 Major Isidoro";2;-;-;-;-;2
"270490 Mar Vermelho";-;-;-;-;-;-
"270450 Maragogi";-;-;-;-;-;-
"270460 Maravilha";-;-;-;-;-;-
"270470 Marechal Deodoro";-;-;-;-;-;-
"270480 Maribondo";-;-;-;-;-;-
"270500 Mata Grande";-;-;-;-;-;-
"270510 Matriz de Camaragibe";-;-;-;-;-;-
"270520 Messias";-;-;-;-;-;-
"270530 Minador do Negrão";-;-;-;-;-;-
"270540 Monteirópolis";-;-;-;-;-;-
"270550 Murici";-;-;-;-;-;-
"270560 Novo Lino";-;-;-;-;-;-
"270570 Olho d'Água das Flores";-;-;-;-;-;-
"270580 Olho d'Água do Casado";-;-;-;-;-;-
"270590 Olho d'Água Grande";-;-;-;-;-;-
"270600 Olivença";-;-;-;-;-;-
"270610 Ouro Branco";-;-;-;-;-;-
"270620 Palestina";-;-;-;-;-;-
"270630 Palmeira dos Índios";1;-;8;-;-;9
"270640 Pão de Açúcar";-;-;-;-;-;-
"270642 Pariconha";-;-;-;-;-;-
"270644 Paripueira";-;-;-;-;-;-
"270650 Passo de Camaragibe";-;-;-;-;-;-
"270660 Paulo Jacinto";-;-;-;-;-;-
"270670 Penedo";-;-;-;-;-;-
"270680 Piaçabuçu";-;-;-;-;-;-
"270690 Pilar";-;-;-;-;-;-
"270700 Pindoba";-;-;-;-;-;-
"270710 Piranhas";-;-;-;-;-;-
"270720 Poço das Trincheiras";-;-;-;-;-;-
"270730 Porto Calvo";-;-;-;-;-;-
"270740 Porto de Pedras";-;-;-;-;-;-
"270750 Porto Real do Colégio";-;-;-;-;-;-
"270760 Quebrangulo";-;-;-;-;-;-
"270770 Rio Largo";-;-;-;-;-;-
"270780 Roteiro";-;-;-;-;-;-
"270790 Santa Luzia do Norte";-;-;-;-;-;-
"270800 Santana do Ipanema";4;-;10;-;-;14
"270810 Santana do Mundaú";-;-;-;-;-;-
"270820 São Brás";-;-;-;-;-;-
"270830 São José da Laje";-;-;-;-;-;-
"270840 São José da Tapera";-;-;-;-;-;-
"270850 São Luís do Quitunde";2;-;-;-;-;2
"270860 São Miguel dos Campos";-;-;7;-;-;7
"270870 São Miguel dos Milagres";-;-;-;-;-;-
"270880 São Sebastião";-;-;-;-;-;-
"270890 Satuba";-;-;-;-;-;-
"270895 Senador Rui Palmeira";-;-;-;-;-;-
"270900 Tanque d'Arca";-;-;-;-;-;-
"270910 Taquarana";-;-;-;-;-;-
"270915 Teotônio Vilela";-;-;-;-;-;-
"270920 Traipu";-;-;-;-;-;-
"270930 União dos Palmares";-;-;-;-;-;-
"270940 Viçosa";-;-;-;-;-;-
"270000 Município ignorado - AL";-;-;-;-;-;-
"280010 Amparo de São Francisco";-;-;-;-;-;-
"280020 Aquidabã";-;-;-;-;-;-
"280030 Aracaju";21;56;118;57;4;256
"280040 Arauá";-;-;-;-;-;-
"280050 Areia Branca";-;-;-;-;-;-
"280060 Barra dos Coqueiros";-;-;-;-;-;-
"280067 Boquim";-;-;-;-;-;-
"280070 Brejo Grande";-;-;-;-;-;-
"280100 Campo do Brito";-;-;-;-;-;-
"280110 Canhoba";-;-;-;-;-;-
"280120 Canindé de São Francisco";-;-;-;-;-;-
"280130 Capela";2;-;-;-;-;2
"280140 Carira";-;-;-;-;-;-
"280150 Carmópolis";-;-;-;-;-;-
"280160 Cedro de São João";-;-;-;-;-;-
"280170 Cristinápolis";-;-;-;-;-;-
"280190 Cumbe";-;-;-;-;-;-
"280200 Divina Pastora";-;-;-;-;-;-
"280210 Estância";2;-;-;-;-;2
"280220 Feira Nova";-;-;-;-;-;-
"280230 Frei Paulo";-;-;-;-;-;-
"280240 Gararu";-;-;-;-;-;-
"280250 General Maynard";-;-;-;-;-;-
"280260 Gracho Cardoso";-;-;-;-;-;-
"280270 Ilha das Flores";-;-;-;-;-;-
"280280 Indiaroba";-;-;-;-;-;-
"280290 Itabaiana";4;-;-;-;2;6
"280300 Itabaianinha";-;-;-;-;-;-
"280310 Itabi";-;-;-;-;-;-
"280320 Itaporanga d'Ajuda";-;-;-;-;-;-
"280330 Japaratuba";-;-;-;-;-;-
"280340 Japoatã";-;-;-;-;-;-
"280350 Lagarto";-;-;10;-;-;10
"280360 Laranjeiras";-;-;-;-;-;-
"280370 Macambira";-;-;-;-;-;-
"280380 Malhada dos Bois";-;-;-;-;-;-
"280390 Malhador";-;-;-;-;-;-
"280400 Maruim";-;-;-;-;-;-
"280410 Moita Bonita";-;-;-;-;-;-
"280420 Monte Alegre de Sergipe";-;-;-;-;-;-
"280430 Muribeca";-;-;-;-;-;-
"280440 Neópolis";-;-;-;-;-;-
"280445 Nossa Senhora Aparecida";-;-;-;-;-;-
"280450 Nossa Senhora da Glória";2;-;-;-;-;2
"280460 Nossa Senhora das Dores";-;-;-;-;-;-
"280470 Nossa Senhora de Lourdes";-;-;-;-;-;-
"280480 Nossa Senhora do Socorro";-;-;-;-;-;-
"280490 Pacatuba";-;-;-;-;-;-
"280500 Pedra Mole";-;-;-;-;-;-
"280510 Pedrinhas";-;-;-;-;-;-
"280520 Pinhão";-;-;-;-;-;-
"280530 Pirambu";-;-;-;-;-;-
"280540 Poço Redondo";1;-;-;-;-;1
"280550 Poço Verde";-;-;-;-;-;-
"280560 Porto da Folha";-;-;-;-;-;-
"280570 Propriá";-;-;-;-;-;-
"280580 Riachão do Dantas";-;-;-;-;-;-
"280590 Riachuelo";-;-;-;-;1;1
"280600 Ribeirópolis";-;-;-;-;-;-
"280610 Rosário do Catete";-;-;-;-;-;-
"280620 Salgado";-;-;-;-;-;-
"280630 Santa Luzia do Itanhy";-;-;-;-;-;-
"280650 Santa Rosa de Lima";-;-;-;-;-;-
"280640 Santana do São Francisco";-;-;-;-;-;-
"280660 Santo Amaro das Brotas";-;-;-;-;-;-
"280670 São Cristóvão";1;-;-;-;-;1
"280680 São Domingos";-;-;-;-;-;-
"280690 São Francisco";-;-;-;-;-;-
"280700 São Miguel do Aleixo";-;-;-;-;-;-
"280710 Simão Dias";-;-;-;-;-;-
"280720 Siriri";-;-;-;-;-;-
"280730 Telha";-;-;-;-;-;-
"280740 Tobias Barreto";-;-;-;-;-;-
"280750 Tomar do Geru";-;-;-;-;-;-
"280760 Umbaúba";-;-;-;-;-;-
"280000 Município ignorado - SE";-;-;-;-;-;-
"290010 Abaíra";1;-;-;-;-;1
"290020 Abaré";-;-;-;-;-;-
"290030 Acajutiba";-;-;-;-;-;-
"290035 Adustina";-;-;-;-;-;-
"290040 Água Fria";-;-;-;-;-;-
"290060 Aiquara";-;-;-;-;-;-
"290070 Alagoinhas";7;-;18;-;-;25
"290080 Alcobaça";-;-;-;-;-;-
"290090 Almadina";-;-;-;-;-;-
"290100 Amargosa";1;-;-;-;-;1
"290110 Amélia Rodrigues";-;-;-;-;-;-
"290115 América Dourada";-;-;-;-;-;-
"290120 Anagé";-;-;-;-;-;-
"290130 Andaraí";-;-;-;-;-;-
"290135 Andorinha";-;-;-;-;-;-
"290140 Angical";-;-;-;-;-;-
"290150 Anguera";-;-;-;-;-;-
"290160 Antas";2;-;-;-;-;2
"290170 Antônio Cardoso";-;-;-;-;-;-
"290180 Antônio Gonçalves";-;-;-;-;-;-
"290190 Aporá";-;-;-;-;-;-
"290195 Apuarema";-;-;-;-;-;-
"290205 Araças";-;-;-;-;-;-
"290200 Aracatu";-;-;-;-;-;-
"290210 Araci";-;-;-;-;-;-
"290220 Aramari";-;-;-;-;-;-
"290225 Arataca";-;-;-;-;-;-
"290230 Aratuípe";-;-;-;-;-;-
"290240 Aurelino Leal";-;-;-;-;-;-
"290250 Baianópolis";-;-;-;-;-;-
