"Município";"Quantidade existente";"Quantidade SUS";"Quantidade Não SUS"
"150380 Jacundá";165;73;92
"150390 Juruti";57;51;6
"150400 Limoeiro do Ajuru";20;20;-
"150405 Mãe do Rio";52;52;-
"150410 Magalhães Barata";-;-;-
"150420 Marabá";312;225;87
"150430 Maracanã";27;27;-
"150440 Marapanim";18;18;-
"150442 Marituba";164;120;44
"150445 Medicilândia";41;41;-
"150450 Melgaço";15;15;-
"150460 Mocajuba";27;27;-
"150470 Moju";50;50;-
"150475 Mojuí dos Campos";-;-;-
"150480 Monte Alegre";85;58;27
"150490 Muaná";26;26;-
"150495 Nova Esperança do Piriá";32;32;-
"150497 Nova Ipixuna";13;13;-
"150500 Nova Timboteua";-;-;-
"150503 Novo Progresso";42;34;8
"150506 Novo Repartimento";54;54;-
"150510 Óbidos";65;63;2
"150520 Oeiras do Pará";15;15;-
"150530 Oriximiná";89;74;15
"150540 Ourém";24;24;-
"150543 Ourilândia do Norte";67;65;2
"150548 Pacajá";37;32;5
"150549 Palestina do Pará";20;20;-
"150550 Paragominas";176;117;59
"150553 Parauapebas";305;100;205
"150555 Pau D'Arco";22;22;-
"150560 Peixe-Boi";-;-;-
"150563 Piçarra";20;20;-
"150565 Placas";29;29;-
"150570 Ponta de Pedras";20;20;-
"150580 Portel";29;29;-
"150590 Porto de Moz";49;49;-
"150600 Prainha";20;20;-
"150610 Primavera";-;-;-
"150611 Quatipuru";-;-;-
"150613 Redenção";278;187;91
"150616 Rio Maria";54;29;25
"150618 Rondon do Pará";101;88;13
"150619 Rurópolis";27;27;-
"150620 Salinópolis";47;47;-
"150630 Salvaterra";19;19;-
"150635 Santa Bárbara do Pará";-;-;-
"150640 Santa Cruz do Arari";15;15;-
"150650 Santa Izabel do Pará";60;60;-
"150655 Santa Luzia do Pará";16;16;-
"150658 Santa Maria das Barreiras";23;23;-
"150660 Santa Maria do Pará";37;37;-
"150670 Santana do Araguaia";63;63;-
"150680 Santarém";471;355;116
"150690 Santarém Novo";-;-;-
"150700 Santo Antônio do Tauá";76;74;2
"150710 São Caetano de Odivelas";20;20;-
"150715 São Domingos do Araguaia";21;21;-
"150720 São Domingos do Capim";31;31;-
"150730 São Félix do Xingu";145;98;47
"150740 São Francisco do Pará";-;-;-
"150745 São Geraldo do Araguaia";41;41;-
"150746 São João da Ponta";-;-;-
"150747 São João de Pirabas";24;24;-
"150750 São João do Araguaia";19;19;-
"150760 São Miguel do Guamá";54;54;-
"150770 São Sebastião da Boa Vista";32;32;-
"150775 Sapucaia";11;11;-
"150780 Senador José Porfírio";15;15;-
"150790 Soure";48;48;-
"150795 Tailândia";40;40;-
"150796 Terra Alta";-;-;-
"150797 Terra Santa";21;21;-
"150800 Tomé-Açu";171;150;21
"150803 Tracuateua";15;15;-
"150805 Trairão";21;21;-
"150808 Tucumã";99;87;12
"150810 Tucuruí";286;204;82
"150812 Ulianópolis";89;88;1
"150815 Uruará";61;58;3
"150820 Vigia";35;35;-
"150830 Viseu";65;65;-
"150835 Vitória do Xingu";31;31;-
"150840 Xinguara";133;82;51
"150000 Município ignorado - PA";-;-;-
"160010 Amapá";37;37;-
"160020 Calçoene";20;20;-
"160021 Cutias";-;-;-
"160023 Ferreira Gomes";12;12;-
"160025 Itaubal";-;-;-
"160027 Laranjal do Jari";58;58;-
"160030 Macapá";716;573;143
"160040 Mazagão";14;14;-
"160050 Oiapoque";41;41;-
"160015 Pedra Branca do Amapari";15;15;-
"160053 Porto Grande";34;34;-
"160055 Pracuúba";-;-;-
"160060 Santana";95;93;2
"160005 Serra do Navio";30;30;-
"160070 Tartarugalzinho";18;18;-
"160080 Vitória do Jari";8;8;-
"160000 Município ignorado - AP";-;-;-
"170025 Abreulândia";-;-;-
"170030 Aguiarnópolis";-;-;-
"170035 Aliança do Tocantins";-;-;-
"170040 Almas";-;-;-
"170070 Alvorada";23;23;-
"170100 Ananás";14;14;-
"170105 Angico";-;-;-
"170110 Aparecida do Rio Negro";-;-;-
"170130 Aragominas";-;-;-
"170190 Araguacema";17;17;-
"170200 Araguaçu";27;27;-
"170210 Araguaína";589;457;132
"170215 Araguanã";-;-;-
"170220 Araguatins";25;25;-
"170230 Arapoema";28;28;-
"170240 Arraias";33;33;-
"170255 Augustinópolis";93;93;-
"170270 Aurora do Tocantins";-;-;-
"170290 Axixá do Tocantins";-;-;-
"170300 Babaçulândia";-;-;-
"170305 Bandeirantes do Tocantins";-;-;-
"170307 Barra do Ouro";-;-;-
"170310 Barrolândia";-;-;-
"170320 Bernardo Sayão";-;-;-
"170330 Bom Jesus do Tocantins";-;-;-
"170360 Brasilândia do Tocantins";-;-;-
"170370 Brejinho de Nazaré";5;5;-
"170380 Buriti do Tocantins";-;-;-
"170382 Cachoeirinha";-;-;-
"170384 Campos Lindos";-;-;-
"170386 Cariri do Tocantins";-;-;-
"170388 Carmolândia";-;-;-
"170389 Carrasco Bonito";-;-;-
"170390 Caseara";-;-;-
"170410 Centenário";-;-;-
"170510 Chapada da Natividade";-;-;-
"170460 Chapada de Areia";-;-;-
"170550 Colinas do Tocantins";69;69;-
"171670 Colméia";21;21;-
"170555 Combinado";-;-;-
"170560 Conceição do Tocantins";-;-;-
"170600 Couto Magalhães";-;-;-
"170610 Cristalândia";7;7;-
"170625 Crixás do Tocantins";-;-;-
"170650 Darcinópolis";-;-;-
"170700 Dianópolis";39;39;-
"170710 Divinópolis do Tocantins";15;15;-
"170720 Dois Irmãos do Tocantins";9;9;-
"170730 Dueré";12;5;7
"170740 Esperantina";-;-;-
"170755 Fátima";-;-;-
"170765 Figueirópolis";5;5;-
"170770 Filadélfia";-;-;-
"170820 Formoso do Araguaia";40;40;-
"170825 Fortaleza do Tabocão";-;-;-
"170830 Goianorte";-;-;-
"170900 Goiatins";10;10;-
"170930 Guaraí";57;57;-
"170950 Gurupi";237;101;136
"170980 Ipueiras";-;-;-
"171050 Itacajá";27;27;-
"171070 Itaguatins";-;-;-
"171090 Itapiratins";-;-;-
"171110 Itaporã do Tocantins";-;-;-
"171150 Jaú do Tocantins";-;-;-
"171180 Juarina";-;-;-
"171190 Lagoa da Confusão";30;30;-
"171195 Lagoa do Tocantins";-;-;-
"171200 Lajeado";-;-;-
"171215 Lavandeira";-;-;-
"171240 Lizarda";-;-;-
"171245 Luzinópolis";-;-;-
"171250 Marianópolis do Tocantins";-;-;-
"171270 Mateiros";-;-;-
"171280 Maurilândia do Tocantins";-;-;-
"171320 Miracema do Tocantins";69;69;-
"171330 Miranorte";20;20;-
"171360 Monte do Carmo";5;5;-
"171370 Monte Santo do Tocantins";-;-;-
"171395 Muricilândia";-;-;-
"171420 Natividade";9;9;-
"171430 Nazaré";-;-;-
"171488 Nova Olinda";-;-;-
"171500 Nova Rosalândia";-;-;-
"171510 Novo Acordo";-;-;-
"171515 Novo Alegre";-;-;-
"171525 Novo Jardim";-;-;-
"171550 Oliveira de Fátima";-;-;-
"172100 Palmas";956;529;427
"171570 Palmeirante";-;-;-
"171380 Palmeiras do Tocantins";-;-;-
"171575 Palmeirópolis";24;24;-
"171610 Paraíso do Tocantins";131;88;43
"171620 Paranã";24;24;-
"171630 Pau D'Arco";-;-;-
"171650 Pedro Afonso";31;31;-
"171660 Peixe";46;46;-
"171665 Pequizeiro";-;-;-
"171700 Pindorama do Tocantins";6;6;-
"171720 Piraquê";-;-;-
"171750 Pium";5;5;-
"171780 Ponte Alta do Bom Jesus";-;-;-
"171790 Ponte Alta do Tocantins";7;7;-
"171800 Porto Alegre do Tocantins";-;-;-
"171820 Porto Nacional";173;173;-
"171830 Praia Norte";-;-;-
"171840 Presidente Kennedy";-;-;-
"171845 Pugmil";-;-;-
"171850 Recursolândia";-;-;-
"171855 Riachinho";-;-;-
"171865 Rio da Conceição";-;-;-
"171870 Rio dos Bois";-;-;-
"171875 Rio Sono";-;-;-
"171880 Sampaio";-;-;-
"171884 Sandolândia";-;-;-
"171886 Santa Fé do Araguaia";-;-;-
"171888 Santa Maria do Tocantins";-;-;-
"171889 Santa Rita do Tocantins";-;-;-
"171890 Santa Rosa do Tocantins";-;-;-
"171900 Santa Tereza do Tocantins";-;-;-
"172000 Santa Terezinha do Tocantins";-;-;-
"172010 São Bento do Tocantins";-;-;-
"172015 São Félix do Tocantins";-;-;-
"172020 São Miguel do Tocantins";-;-;-
"172025 São Salvador do Tocantins";-;-;-
"172030 São Sebastião do Tocantins";-;-;-
"172049 São Valério";-;-;-
"172065 Silvanópolis";19;19;-
"172080 Sítio Novo do Tocantins";-;-;-
"172085 Sucupira";-;-;-
"172090 Taguatinga";47;47;-
"172093 Taipas do Tocantins";-;-;-
"172097 Talismã";-;-;-
"172110 Tocantínia";-;-;-
"172120 Tocantinópolis";40;40;-
"172125 Tupirama";-;-;-
"172130 Tupiratins";-;-;-
"172208 Wanderlândia";-;-;-
"172210 Xambioá";28;28;-
"170000 Município ignorado - TO";-;-;-
"210005 Açailândia";243;153;90
"210010 Afonso Cunha";20;20;-
"210015 Água Doce do Maranhão";-;-;-
"210020 Alcântara";24;24;-
"210030 Aldeias Altas";25;25;-
"210040 Altamira do Maranhão";-;-;-
"210043 Alto Alegre do Maranhão";48;48;-
"210047 Alto Alegre do Pindaré";34;34;-
"210050 Alto Parnaíba";22;22;-
"210055 Amapá do Maranhão";11;11;-
"210060 Amarante do Maranhão";85;76;9
"210070 Anajatuba";27;27;-
"210080 Anapurus";16;16;-
"210083 Apicum-Açu";15;15;-
"210087 Araguanã";17;17;-
"210090 Araioses";117;117;-
"210095 Arame";58;58;-
"210100 Arari";48;48;-
"210110 Axixá";25;25;-
"210120 Bacabal";234;213;21
"210125 Bacabeira";28;24;4
"210130 Bacuri";23;23;-
"210135 Bacurituba";-;-;-
"210140 Balsas";165;142;23
"210150 Barão de Grajaú";31;31;-
"210160 Barra do Corda";153;123;30
"210170 Barreirinhas";52;47;5
"210177 Bela Vista do Maranhão";15;15;-
"210173 Belágua";12;12;-
"210180 Benedito Leite";20;20;-
"210190 Bequimão";18;18;-
"210193 Bernardo do Mearim";15;15;-
"210197 Boa Vista do Gurupi";15;15;-
"210200 Bom Jardim";36;36;-
"210203 Bom Jesus das Selvas";25;25;-
"210207 Bom Lugar";-;-;-
"210210 Brejo";37;37;-
"210215 Brejo de Areia";-;-;-
"210220 Buriti";26;26;-
"210230 Buriti Bravo";44;44;-
"210232 Buriticupu";84;84;-
"210235 Buritirana";-;-;-
"210237 Cachoeira Grande";-;-;-
"210240 Cajapió";19;19;-
"210250 Cajari";20;20;-
"210255 Campestre do Maranhão";21;21;-
"210260 Cândido Mendes";10;10;-
"210270 Cantanhede";59;59;-
"210275 Capinzal do Norte";13;12;1
"210280 Carolina";30;30;-
"210290 Carutapera";38;38;-
"210300 Caxias";314;307;7
"210310 Cedral";15;15;-
"210312 Central do Maranhão";15;15;-
"210315 Centro do Guilherme";-;-;-
"210317 Centro Novo do Maranhão";-;-;-
"210320 Chapadinha";157;125;32
"210325 Cidelândia";21;21;-
"210330 Codó";100;100;-
"210340 Coelho Neto";120;100;20
"210350 Colinas";90;90;-
"210355 Conceição do Lago-Açu";15;15;-
"210360 Coroatá";76;76;-
"210370 Cururupu";109;103;6
"210375 Davinópolis";14;14;-
"210380 Dom Pedro";29;29;-
"210390 Duque Bacelar";26;26;-
"210400 Esperantinópolis";44;44;-
"210405 Estreito";61;53;8
"210407 Feira Nova do Maranhão";20;20;-
"210408 Fernando Falcão";18;18;-
"210409 Formosa da Serra Negra";13;13;-
"210410 Fortaleza dos Nogueiras";31;31;-
"210420 Fortuna";17;17;-
"210430 Godofredo Viana";-;-;-
"210440 Gonçalves Dias";29;29;-
"210450 Governador Archer";24;24;-
"210455 Governador Edison Lobão";23;23;-
"210460 Governador Eugênio Barros";30;30;-
"210462 Governador Luiz Rocha";20;20;-
"210465 Governador Newton Bello";19;19;-
"210467 Governador Nunes Freire";204;200;4
"210470 Graça Aranha";18;18;-
"210480 Grajaú";188;186;2
"210490 Guimarães";36;32;4
"210500 Humberto de Campos";30;30;-
"210510 Icatu";34;30;4
"210515 Igarapé do Meio";37;37;-
"210520 Igarapé Grande";37;37;-
"210530 Imperatriz";801;597;204
"210535 Itaipava do Grajaú";25;25;-
"210540 Itapecuru Mirim";69;69;-
"210542 Itinga do Maranhão";76;76;-
"210545 Jatobá";16;16;-
"210547 Jenipapo dos Vieiras";17;17;-
"210550 João Lisboa";62;60;2
"210560 Joselândia";22;22;-
"210565 Junco do Maranhão";3;3;-
"210570 Lago da Pedra";144;98;46
"210580 Lago do Junco";20;20;-
"210594 Lago dos Rodrigues";20;20;-
"210590 Lago Verde";45;45;-
"210592 Lagoa do Mato";22;22;-
"210596 Lagoa Grande do Maranhão";19;19;-
"210598 Lajeado Novo";-;-;-
"210600 Lima Campos";38;38;-
"210610 Loreto";20;20;-
"210620 Luís Domingues";9;9;-
"210630 Magalhães de Almeida";20;20;-
"210632 Maracaçumé";11;11;-
"210635 Marajá do Sena";-;-;-
"210637 Maranhãozinho";18;18;-
"210640 Mata Roma";23;23;-
"210650 Matinha";17;17;-
"210660 Matões";50;50;-
"210663 Matões do Norte";-;-;-
"210667 Milagres do Maranhão";9;9;-
"210670 Mirador";20;20;-
"210675 Miranda do Norte";52;44;8
"210680 Mirinzal";22;22;-
"210690 Monção";52;52;-
"210700 Montes Altos";24;24;-
"210710 Morros";20;20;-
"210720 Nina Rodrigues";15;15;-
"210725 Nova Colinas";14;14;-
"210730 Nova Iorque";15;15;-
"210735 Nova Olinda do Maranhão";37;37;-
"210740 Olho d'Água das Cunhãs";20;20;-
"210745 Olinda Nova do Maranhão";50;42;8
"210750 Paço do Lumiar";17;17;-
"210760 Palmeirândia";38;36;2
"210770 Paraibano";48;48;-
"210780 Parnarama";51;51;-
"210790 Passagem Franca";116;116;-
"210800 Pastos Bons";23;23;-
"210805 Paulino Neves";20;20;-
"210810 Paulo Ramos";39;35;4
"210820 Pedreiras";114;88;26
"210825 Pedro do Rosário";34;34;-
"210830 Penalva";63;63;-
"210840 Peri Mirim";27;27;-
"210845 Peritoró";56;52;4
"210850 Pindaré-Mirim";40;40;-
"210860 Pinheiro";248;240;8
"210870 Pio XII";35;35;-
"210880 Pirapemas";19;19;-
"210890 Poção de Pedras";37;37;-
"210900 Porto Franco";79;75;4
"210905 Porto Rico do Maranhão";28;28;-
"210910 Presidente Dutra";194;190;4
"210920 Presidente Juscelino";15;15;-
"210923 Presidente Médici";-;-;-
"210927 Presidente Sarney";15;15;-
"210930 Presidente Vargas";22;22;-
"210940 Primeira Cruz";19;19;-
"210945 Raposa";48;32;16
"210950 Riachão";51;51;-
"210955 Ribamar Fiquene";20;20;-
"210960 Rosário";123;113;10
"210970 Sambaíba";17;17;-
"210975 Santa Filomena do Maranhão";17;17;-
"210980 Santa Helena";58;58;-
"210990 Santa Inês";295;213;82
"211000 Santa Luzia";86;86;-
"211003 Santa Luzia do Paruá";78;78;-
"211010 Santa Quitéria do Maranhão";42;42;-
"211020 Santa Rita";35;35;-
"211023 Santana do Maranhão";16;16;-
"211027 Santo Amaro do Maranhão";20;20;-
"211030 Santo Antônio dos Lopes";30;30;-
"211040 São Benedito do Rio Preto";32;32;-
"211050 São Bento";50;50;-
"211060 São Bernardo";27;27;-
"211065 São Domingos do Azeitão";20;20;-
"211070 São Domingos do Maranhão";35;31;4
"211080 São Félix de Balsas";20;20;-
"211085 São Francisco do Brejão";24;24;-
"211090 São Francisco do Maranhão";23;23;-
"211100 São João Batista";50;50;-
"211102 São João do Carú";35;19;16
"211105 São João do Paraíso";20;20;-
"211107 São João do Soter";19;19;-
"211110 São João dos Patos";54;52;2
"211120 São José de Ribamar";177;72;105
"211125 São José dos Basílios";13;13;-
"211130 São Luís";3741;3018;723
"211140 São Luís Gonzaga do Maranhão";29;29;-
"211150 São Mateus do Maranhão";52;52;-
"211153 São Pedro da Água Branca";26;26;-
"211157 São Pedro dos Crentes";18;18;-
"211160 São Raimundo das Mangabeiras";37;37;-
"211163 São Raimundo do Doca Bezerra";12;12;-
"211167 São Roberto";-;-;-
"211170 São Vicente Ferrer";56;56;-
"211172 Satubinha";28;28;-
"211174 Senador Alexandre Costa";35;35;-
"211176 Senador La Rocque";-;-;-
"211178 Serrano do Maranhão";-;-;-
"211180 Sítio Novo";30;30;-
"211190 Sucupira do Norte";24;22;2
"211195 Sucupira do Riachão";16;16;-
"211200 Tasso Fragoso";16;16;-
"211210 Timbiras";48;48;-
"211220 Timon";128;123;5
"211223 Trizidela do Vale";29;29;-
"211227 Tufilândia";19;19;-
"211230 Tuntum";50;50;-
"211240 Turiaçu";52;52;-
"211245 Turilândia";-;-;-
"211250 Tutóia";52;37;15
"211260 Urbano Santos";37;37;-
"211270 Vargem Grande";42;42;-
"211280 Viana";74;74;-
"211285 Vila Nova dos Martírios";21;21;-
"211290 Vitória do Mearim";46;46;-
"211300 Vitorino Freire";48;44;4
"211400 Zé Doca";51;51;-
"210000 Município ignorado - MA";-;-;-
"220005 Acauã";-;-;-
"220010 Agricolândia";15;15;-
"220020 Água Branca";20;20;-
"220025 Alagoinha do Piauí";12;12;-
"220027 Alegrete do Piauí";-;-;-
"220030 Alto Longá";14;14;-
"220040 Altos";37;37;-
"220045 Alvorada do Gurguéia";-;-;-
"220050 Amarante";45;45;-
"220060 Angical do Piauí";11;11;-
"220070 Anísio de Abreu";10;10;-
"220080 Antônio Almeida";-;-;-
"220090 Aroazes";6;6;-
"220095 Aroeiras do Itaim";-;-;-
"220100 Arraial";4;4;-
"220105 Assunção do Piauí";-;-;-
"220110 Avelino Lopes";18;18;-
"220115 Baixa Grande do Ribeiro";11;11;-
"220117 Barra D'Alcântara";-;-;-
"220120 Barras";74;70;4
"220130 Barreiras do Piauí";-;-;-
"220140 Barro Duro";25;25;-
"220150 Batalha";23;23;-
"220155 Bela Vista do Piauí";-;-;-
"220157 Belém do Piauí";-;-;-
"220160 Beneditinos";15;15;-
"220170 Bertolínia";4;4;-
"220173 Betânia do Piauí";-;-;-
"220177 Boa Hora";-;-;-
"220180 Bocaina";21;21;-
"220190 Bom Jesus";50;50;-
"220191 Bom Princípio do Piauí";6;6;-
"220192 Bonfim do Piauí";-;-;-
"220194 Boqueirão do Piauí";-;-;-
"220196 Brasileira";10;10;-
"220198 Brejo do Piauí";-;-;-
"220200 Buriti dos Lopes";40;40;-
"220202 Buriti dos Montes";16;16;-
"220205 Cabeceiras do Piauí";-;-;-
"220207 Cajazeiras do Piauí";-;-;-
"220208 Cajueiro da Praia";-;-;-
"220209 Caldeirão Grande do Piauí";-;-;-
"220210 Campinas do Piauí";-;-;-
"220211 Campo Alegre do Fidalgo";-;-;-
"220213 Campo Grande do Piauí";-;-;-
"220217 Campo Largo do Piauí";-;-;-
"220220 Campo Maior";208;190;18
"220225 Canavieira";4;4;-
"220230 Canto do Buriti";23;23;-
"220240 Capitão de Campos";9;9;-
"220245 Capitão Gervásio Oliveira";-;-;-
"220250 Caracol";11;11;-
"220253 Caraúbas do Piauí";-;-;-
"220255 Caridade do Piauí";-;-;-
"220260 Castelo do Piauí";38;38;-
"220265 Caxingó";-;-;-
"220270 Cocal";23;23;-
"220271 Cocal de Telha";-;-;-
"220272 Cocal dos Alves";-;-;-
"220273 Coivaras";-;-;-
"220275 Colônia do Gurguéia";-;-;-
"220277 Colônia do Piauí";7;7;-
"220280 Conceição do Canindé";45;45;-
"220285 Coronel José Dias";-;-;-
"220290 Corrente";45;45;-
"220300 Cristalândia do Piauí";13;13;-
"220310 Cristino Castro";21;21;-
"220320 Curimatá";34;34;-
"220323 Currais";-;-;-
"220327 Curral Novo do Piauí";-;-;-
"220325 Curralinhos";-;-;-
"220330 Demerval Lobão";24;24;-
"220335 Dirceu Arcoverde";7;7;-
"220340 Dom Expedito Lopes";-;-;-
"220345 Dom Inocêncio";-;-;-
"220342 Domingos Mourão";-;-;-
"220350 Elesbão Veloso";34;34;-
"220360 Eliseu Martins";8;8;-
"220370 Esperantina";75;55;20
"220375 Fartura do Piauí";-;-;-
"220380 Flores do Piauí";2;2;-
"220385 Floresta do Piauí";-;-;-
