"Município";"Leitos Repouso/Observação Ped";"Leitos Repouso/Observação Fem";"Leitos Repouso/Observação Masc";"Leitos Repouso/Observação Indif"
"150330 Igarapé-Miri";-;-;-;13
"150340 Inhangapi";-;-;-;-
"150345 Ipixuna do Pará";-;3;3;8
"150350 Irituia";3;3;3;3
"150360 Itaituba";2;2;2;10
"150370 Itupiranga";2;-;-;14
"150375 Jacareacanga";-;-;-;4
"150380 Jacundá";-;-;-;-
"150390 Juruti";1;2;2;9
"150400 Limoeiro do Ajuru";1;-;-;1
"150405 Mãe do Rio";-;-;-;-
"150410 Magalhães Barata";-;-;-;1
"150420 Marabá";11;2;2;26
"150430 Maracanã";-;-;-;2
"150440 Marapanim";-;-;-;-
"150442 Marituba";8;9;9;5
"150445 Medicilândia";1;1;1;-
"150450 Melgaço";-;-;-;4
"150460 Mocajuba";-;-;-;1
"150470 Moju";-;-;-;-
"150475 Mojuí dos Campos";1;-;-;-
"150480 Monte Alegre";-;-;-;4
"150490 Muaná";-;-;-;1
"150495 Nova Esperança do Piriá";-;-;-;-
"150497 Nova Ipixuna";-;5;5;2
"150500 Nova Timboteua";-;-;-;-
"150503 Novo Progresso";1;1;1;2
"150506 Novo Repartimento";1;-;1;9
"150510 Óbidos";4;3;2;6
"150520 Oeiras do Pará";-;-;-;-
"150530 Oriximiná";-;-;-;8
"150540 Ourém";-;-;-;3
"150543 Ourilândia do Norte";-;-;-;3
"150548 Pacajá";-;-;-;7
"150549 Palestina do Pará";-;-;-;1
"150550 Paragominas";11;6;10;7
"150553 Parauapebas";19;6;9;29
"150555 Pau D'Arco";-;-;-;1
"150560 Peixe-Boi";-;-;-;-
"150563 Piçarra";1;1;1;-
"150565 Placas";-;-;-;1
"150570 Ponta de Pedras";-;-;-;-
"150580 Portel";-;-;-;5
"150590 Porto de Moz";-;-;-;2
"150600 Prainha";-;-;-;2
"150610 Primavera";2;6;4;4
"150611 Quatipuru";-;-;-;10
"150613 Redenção";-;1;-;11
"150616 Rio Maria";-;-;-;-
"150618 Rondon do Pará";-;-;-;1
"150619 Rurópolis";1;4;4;2
"150620 Salinópolis";-;-;-;8
"150630 Salvaterra";-;-;-;-
"150635 Santa Bárbara do Pará";-;-;-;6
"150640 Santa Cruz do Arari";-;-;-;-
"150650 Santa Izabel do Pará";-;-;-;3
"150655 Santa Luzia do Pará";-;-;-;-
"150658 Santa Maria das Barreiras";-;-;-;-
"150660 Santa Maria do Pará";-;-;-;1
"150670 Santana do Araguaia";-;-;-;2
"150680 Santarém";22;33;27;37
"150690 Santarém Novo";-;-;-;-
"150700 Santo Antônio do Tauá";-;-;-;6
"150710 São Caetano de Odivelas";3;2;2;-
"150715 São Domingos do Araguaia";-;-;-;1
"150720 São Domingos do Capim";-;-;-;1
"150730 São Félix do Xingu";9;11;6;8
"150740 São Francisco do Pará";-;-;-;-
"150745 São Geraldo do Araguaia";-;-;-;2
"150746 São João da Ponta";-;-;-;-
"150747 São João de Pirabas";-;-;-;4
"150750 São João do Araguaia";-;-;-;2
"150760 São Miguel do Guamá";-;-;-;5
"150770 São Sebastião da Boa Vista";-;-;-;-
"150775 Sapucaia";1;-;-;-
"150780 Senador José Porfírio";-;-;-;2
"150790 Soure";-;-;-;-
"150795 Tailândia";-;-;-;-
"150796 Terra Alta";-;-;-;-
"150797 Terra Santa";-;-;-;6
"150800 Tomé-Açu";-;-;-;9
"150803 Tracuateua";-;-;-;4
"150805 Trairão";-;-;-;-
"150808 Tucumã";1;1;1;3
"150810 Tucuruí";13;7;10;11
"150812 Ulianópolis";-;-;-;-
"150815 Uruará";-;-;-;3
"150820 Vigia";3;3;3;-
"150830 Viseu";3;-;-;6
"150835 Vitória do Xingu";4;5;10;2
"150840 Xinguara";12;10;10;2
"150000 Município ignorado - PA";-;-;-;-
"160010 Amapá";-;-;-;2
"160020 Calçoene";-;-;-;-
"160021 Cutias";-;-;-;-
"160023 Ferreira Gomes";-;-;-;-
"160025 Itaubal";-;-;-;-
"160027 Laranjal do Jari";8;3;3;6
"160030 Macapá";35;18;20;38
"160040 Mazagão";1;-;-;-
"160050 Oiapoque";-;-;-;3
"160015 Pedra Branca do Amapari";-;-;4;4
"160053 Porto Grande";-;-;-;-
"160055 Pracuúba";-;-;-;-
"160060 Santana";2;-;-;29
"160005 Serra do Navio";-;-;-;2
"160070 Tartarugalzinho";-;-;1;1
"160080 Vitória do Jari";-;-;-;2
"160000 Município ignorado - AP";-;-;-;-
"170025 Abreulândia";-;-;-;-
"170030 Aguiarnópolis";-;-;-;-
"170035 Aliança do Tocantins";-;-;-;-
"170040 Almas";-;-;-;5
"170070 Alvorada";-;-;-;-
"170100 Ananás";-;-;-;-
"170105 Angico";-;-;-;-
"170110 Aparecida do Rio Negro";-;-;-;-
"170130 Aragominas";-;-;-;-
"170190 Araguacema";-;-;-;-
"170200 Araguaçu";1;-;-;-
"170210 Araguaína";23;-;-;9
"170215 Araguanã";-;-;-;-
"170220 Araguatins";10;5;5;2
"170230 Arapoema";-;-;-;4
"170240 Arraias";-;-;-;3
"170255 Augustinópolis";-;-;-;-
"170270 Aurora do Tocantins";2;5;5;-
"170290 Axixá do Tocantins";-;-;-;-
"170300 Babaçulândia";-;-;-;-
"170305 Bandeirantes do Tocantins";-;-;-;-
"170307 Barra do Ouro";-;-;-;-
"170310 Barrolândia";-;-;-;-
"170320 Bernardo Sayão";-;-;-;-
"170330 Bom Jesus do Tocantins";-;-;-;-
"170360 Brasilândia do Tocantins";-;-;-;-
"170370 Brejinho de Nazaré";3;7;4;2
"170380 Buriti do Tocantins";-;-;-;-
"170382 Cachoeirinha";-;-;-;-
"170384 Campos Lindos";-;-;-;-
"170386 Cariri do Tocantins";-;6;-;-
"170388 Carmolândia";-;-;-;-
"170389 Carrasco Bonito";-;-;-;-
"170390 Caseara";-;-;-;-
"170410 Centenário";-;-;-;-
"170510 Chapada da Natividade";-;-;-;-
"170460 Chapada de Areia";-;-;-;-
"170550 Colinas do Tocantins";-;2;-;-
"171670 Colméia";6;2;2;-
"170555 Combinado";-;-;-;11
"170560 Conceição do Tocantins";-;-;-;-
"170600 Couto Magalhães";-;-;-;-
"170610 Cristalândia";-;4;4;-
"170625 Crixás do Tocantins";-;-;-;-
"170650 Darcinópolis";-;-;-;-
"170700 Dianópolis";-;-;-;9
"170710 Divinópolis do Tocantins";2;2;-;-
"170720 Dois Irmãos do Tocantins";-;4;4;2
"170730 Dueré";4;3;3;3
"170740 Esperantina";-;-;-;-
"170755 Fátima";-;-;-;-
"170765 Figueirópolis";4;3;2;-
"170770 Filadélfia";-;2;2;-
"170820 Formoso do Araguaia";-;-;-;14
"170825 Fortaleza do Tabocão";-;-;-;-
"170830 Goianorte";-;2;2;-
"170900 Goiatins";-;-;-;-
"170930 Guaraí";-;6;5;-
"170950 Gurupi";13;4;4;18
"170980 Ipueiras";-;-;-;-
"171050 Itacajá";-;-;-;-
"171070 Itaguatins";-;-;-;-
"171090 Itapiratins";-;-;-;-
"171110 Itaporã do Tocantins";3;3;3;-
"171150 Jaú do Tocantins";-;-;-;-
"171180 Juarina";-;-;-;-
"171190 Lagoa da Confusão";-;-;-;5
"171195 Lagoa do Tocantins";-;-;-;-
"171200 Lajeado";-;-;-;-
"171215 Lavandeira";-;-;-;2
"171240 Lizarda";-;-;-;-
"171245 Luzinópolis";-;-;-;-
"171250 Marianópolis do Tocantins";2;3;4;-
"171270 Mateiros";-;-;-;-
"171280 Maurilândia do Tocantins";-;-;-;-
"171320 Miracema do Tocantins";-;-;6;-
"171330 Miranorte";-;1;-;-
"171360 Monte do Carmo";-;-;-;-
"171370 Monte Santo do Tocantins";-;-;-;-
"171395 Muricilândia";-;-;-;-
"171420 Natividade";-;3;3;-
"171430 Nazaré";-;-;-;-
"171488 Nova Olinda";-;4;5;-
"171500 Nova Rosalândia";1;3;3;-
"171510 Novo Acordo";-;-;-;-
"171515 Novo Alegre";-;-;-;3
"171525 Novo Jardim";-;-;-;-
"171550 Oliveira de Fátima";-;-;-;-
"172100 Palmas";24;26;24;67
"171570 Palmeirante";-;-;-;-
"171380 Palmeiras do Tocantins";-;-;-;-
"171575 Palmeirópolis";-;-;-;-
"171610 Paraíso do Tocantins";5;3;3;-
"171620 Paranã";-;-;-;1
"171630 Pau D'Arco";-;-;-;-
"171650 Pedro Afonso";-;-;-;4
"171660 Peixe";-;3;3;-
"171665 Pequizeiro";-;3;3;-
"171700 Pindorama do Tocantins";-;-;-;3
"171720 Piraquê";-;-;-;-
"171750 Pium";6;6;6;-
"171780 Ponte Alta do Bom Jesus";5;8;5;-
"171790 Ponte Alta do Tocantins";-;4;5;-
"171800 Porto Alegre do Tocantins";-;-;-;-
"171820 Porto Nacional";9;6;7;-
"171830 Praia Norte";-;-;-;-
"171840 Presidente Kennedy";-;-;-;-
"171845 Pugmil";-;-;-;-
"171850 Recursolândia";-;-;-;-
"171855 Riachinho";-;-;-;3
"171865 Rio da Conceição";-;-;-;-
"171870 Rio dos Bois";-;-;-;-
"171875 Rio Sono";3;3;3;-
"171880 Sampaio";-;-;-;-
"171884 Sandolândia";-;-;-;-
"171886 Santa Fé do Araguaia";-;-;-;-
"171888 Santa Maria do Tocantins";-;-;-;-
"171889 Santa Rita do Tocantins";-;-;-;-
"171890 Santa Rosa do Tocantins";-;-;-;-
"171900 Santa Tereza do Tocantins";-;-;-;-
"172000 Santa Terezinha do Tocantins";-;-;-;-
"172010 São Bento do Tocantins";-;1;1;7
"172015 São Félix do Tocantins";-;-;-;-
"172020 São Miguel do Tocantins";-;-;-;-
"172025 São Salvador do Tocantins";-;-;-;6
"172030 São Sebastião do Tocantins";-;-;-;-
"172049 São Valério";3;6;6;-
"172065 Silvanópolis";-;-;-;2
"172080 Sítio Novo do Tocantins";3;3;3;-
"172085 Sucupira";-;-;-;-
"172090 Taguatinga";-;-;-;5
"172093 Taipas do Tocantins";-;-;-;-
"172097 Talismã";-;-;-;-
"172110 Tocantínia";-;-;-;-
"172120 Tocantinópolis";4;3;4;7
"172125 Tupirama";-;-;-;-
"172130 Tupiratins";-;-;-;-
"172208 Wanderlândia";-;-;-;-
"172210 Xambioá";-;-;-;-
"170000 Município ignorado - TO";-;-;-;-
"210005 Açailândia";11;13;20;13
"210010 Afonso Cunha";-;-;-;2
"210015 Água Doce do Maranhão";-;-;-;-
"210020 Alcântara";-;-;-;9
"210030 Aldeias Altas";1;-;-;3
"210040 Altamira do Maranhão";-;-;-;-
"210043 Alto Alegre do Maranhão";-;-;-;11
"210047 Alto Alegre do Pindaré";-;-;-;-
"210050 Alto Parnaíba";-;-;-;-
"210055 Amapá do Maranhão";-;4;4;-
"210060 Amarante do Maranhão";-;2;2;2
"210070 Anajatuba";2;4;3;-
"210080 Anapurus";-;-;-;-
"210083 Apicum-Açu";-;-;-;2
"210087 Araguanã";-;-;-;-
"210090 Araioses";3;3;3;1
"210095 Arame";-;-;-;-
"210100 Arari";-;-;-;2
"210110 Axixá";-;-;-;-
"210120 Bacabal";1;4;4;3
"210125 Bacabeira";4;2;2;7
"210130 Bacuri";1;-;-;2
"210135 Bacurituba";-;-;-;-
"210140 Balsas";6;-;-;34
"210150 Barão de Grajaú";-;-;-;-
"210160 Barra do Corda";33;8;8;3
"210170 Barreirinhas";-;-;-;3
"210177 Bela Vista do Maranhão";2;2;2;2
"210173 Belágua";-;-;-;-
"210180 Benedito Leite";-;-;-;3
"210190 Bequimão";-;-;-;-
"210193 Bernardo do Mearim";-;-;-;3
"210197 Boa Vista do Gurupi";-;-;-;3
"210200 Bom Jardim";-;-;-;-
"210203 Bom Jesus das Selvas";-;-;-;1
"210207 Bom Lugar";-;-;-;-
"210210 Brejo";-;-;-;1
"210215 Brejo de Areia";-;-;-;-
"210220 Buriti";3;10;9;1
"210230 Buriti Bravo";-;-;-;-
"210232 Buriticupu";1;4;4;6
"210235 Buritirana";-;-;-;-
"210237 Cachoeira Grande";-;-;-;-
"210240 Cajapió";3;-;2;5
"210250 Cajari";-;-;-;3
"210255 Campestre do Maranhão";-;-;-;1
"210260 Cândido Mendes";1;-;-;-
"210270 Cantanhede";-;-;-;1
"210275 Capinzal do Norte";-;-;-;1
"210280 Carolina";-;-;-;-
"210290 Carutapera";2;-;-;9
"210300 Caxias";8;6;12;6
"210310 Cedral";1;5;4;-
"210312 Central do Maranhão";-;-;-;1
"210315 Centro do Guilherme";-;1;1;-
"210317 Centro Novo do Maranhão";-;-;-;-
"210320 Chapadinha";3;5;-;12
"210325 Cidelândia";-;-;-;-
"210330 Codó";5;1;1;14
"210340 Coelho Neto";2;-;-;6
"210350 Colinas";-;-;-;3
"210355 Conceição do Lago-Açu";-;-;-;8
"210360 Coroatá";3;-;-;12
"210370 Cururupu";7;8;8;4
"210375 Davinópolis";-;-;-;3
"210380 Dom Pedro";-;6;4;-
"210390 Duque Bacelar";4;4;4;1
"210400 Esperantinópolis";2;1;1;-
"210405 Estreito";-;-;-;-
"210407 Feira Nova do Maranhão";-;-;-;-
"210408 Fernando Falcão";-;-;-;3
"210409 Formosa da Serra Negra";-;-;-;-
"210410 Fortaleza dos Nogueiras";-;-;-;-
"210420 Fortuna";-;-;-;1
"210430 Godofredo Viana";-;-;-;-
"210440 Gonçalves Dias";-;-;-;-
"210450 Governador Archer";-;-;-;-
"210455 Governador Edison Lobão";-;-;-;-
"210460 Governador Eugênio Barros";-;-;-;-
"210462 Governador Luiz Rocha";-;-;-;1
"210465 Governador Newton Bello";-;3;3;3
"210467 Governador Nunes Freire";-;-;-;-
"210470 Graça Aranha";-;-;-;1
"210480 Grajaú";-;9;8;5
"210490 Guimarães";-;-;-;2
"210500 Humberto de Campos";-;-;-;-
"210510 Icatu";-;-;-;-
"210515 Igarapé do Meio";-;-;-;-
"210520 Igarapé Grande";-;-;-;-
"210530 Imperatriz";13;7;4;40
"210535 Itaipava do Grajaú";-;-;-;3
"210540 Itapecuru Mirim";5;5;5;-
"210542 Itinga do Maranhão";-;-;-;-
"210545 Jatobá";-;-;-;3
"210547 Jenipapo dos Vieiras";-;-;-;3
"210550 João Lisboa";-;-;-;-
"210560 Joselândia";-;-;-;1
"210565 Junco do Maranhão";-;3;-;4
"210570 Lago da Pedra";3;3;3;1
"210580 Lago do Junco";-;-;-;3
"210594 Lago dos Rodrigues";-;-;-;4
"210590 Lago Verde";1;-;-;3
"210592 Lagoa do Mato";-;-;-;-
"210596 Lagoa Grande do Maranhão";-;-;-;5
"210598 Lajeado Novo";-;-;-;-
"210600 Lima Campos";-;2;2;-
"210610 Loreto";-;-;-;-
"210620 Luís Domingues";-;3;3;-
"210630 Magalhães de Almeida";-;-;-;1
"210632 Maracaçumé";-;4;4;-
"210635 Marajá do Sena";-;-;-;-
"210637 Maranhãozinho";-;-;-;4
"210640 Mata Roma";-;-;-;-
"210650 Matinha";-;-;-;2
"210660 Matões";-;-;-;-
"210663 Matões do Norte";-;-;-;3
"210667 Milagres do Maranhão";-;-;-;-
"210670 Mirador";-;-;-;3
"210675 Miranda do Norte";1;1;1;5
"210680 Mirinzal";-;-;-;2
"210690 Monção";-;-;-;-
"210700 Montes Altos";-;-;-;3
"210710 Morros";-;-;-;4
"210720 Nina Rodrigues";-;-;-;1
"210725 Nova Colinas";-;-;-;1
"210730 Nova Iorque";-;-;-;2
"210735 Nova Olinda do Maranhão";-;-;-;3
"210740 Olho d'Água das Cunhãs";-;-;-;3
"210745 Olinda Nova do Maranhão";10;16;8;2
"210750 Paço do Lumiar";-;-;-;5
"210760 Palmeirândia";-;-;-;2
"210770 Paraibano";-;-;-;2
"210780 Parnarama";-;-;-;-
"210790 Passagem Franca";-;-;-;-
"210800 Pastos Bons";-;-;-;2
"210805 Paulino Neves";-;-;-;4
"210810 Paulo Ramos";-;-;-;1
"210820 Pedreiras";-;9;9;1
"210825 Pedro do Rosário";-;-;-;2
"210830 Penalva";-;-;-;4
"210840 Peri Mirim";-;-;-;-
"210845 Peritoró";-;-;-;6
"210850 Pindaré-Mirim";-;-;-;-
"210860 Pinheiro";2;5;3;-
"210870 Pio XII";-;-;-;-
"210880 Pirapemas";-;-;-;2
"210890 Poção de Pedras";-;-;-;-
"210900 Porto Franco";3;-;-;8
"210905 Porto Rico do Maranhão";-;-;-;-
"210910 Presidente Dutra";10;-;-;16
"210920 Presidente Juscelino";4;4;4;3
"210923 Presidente Médici";2;2;2;-
"210927 Presidente Sarney";-;-;-;3
"210930 Presidente Vargas";-;-;-;-
"210940 Primeira Cruz";-;-;-;3
"210945 Raposa";-;-;-;2
"210950 Riachão";-;-;-;1
"210955 Ribamar Fiquene";-;-;-;-
"210960 Rosário";1;1;1;-
"210970 Sambaíba";-;-;-;-
"210975 Santa Filomena do Maranhão";-;-;-;-
"210980 Santa Helena";-;-;-;2
"210990 Santa Inês";-;-;-;11
"211000 Santa Luzia";3;3;3;3
"211003 Santa Luzia do Paruá";-;-;-;5
"211010 Santa Quitéria do Maranhão";-;-;-;3
"211020 Santa Rita";-;-;-;2
"211023 Santana do Maranhão";-;-;-;3
"211027 Santo Amaro do Maranhão";-;-;-;1
"211030 Santo Antônio dos Lopes";-;-;-;-
"211040 São Benedito do Rio Preto";-;-;-;4
"211050 São Bento";-;-;-;3
"211060 São Bernardo";-;-;-;-
"211065 São Domingos do Azeitão";-;-;-;-
"211070 São Domingos do Maranhão";-;-;-;-
"211080 São Félix de Balsas";-;-;-;-
"211085 São Francisco do Brejão";-;-;-;-
"211090 São Francisco do Maranhão";-;-;-;-
"211100 São João Batista";-;-;-;-
"211102 São João do Carú";8;12;5;5
"211105 São João do Paraíso";-;-;-;3
"211107 São João do Soter";-;-;-;-
"211110 São João dos Patos";2;-;-;10
"211120 São José de Ribamar";9;-;-;38
"211125 São José dos Basílios";-;-;-;-
"211130 São Luís";85;48;57;166
"211140 São Luís Gonzaga do Maranhão";-;-;-;-
"211150 São Mateus do Maranhão";-;6;8;-
"211153 São Pedro da Água Branca";-;-;-;1
"211157 São Pedro dos Crentes";-;-;-;2
"211160 São Raimundo das Mangabeiras";-;-;-;-
"211163 São Raimundo do Doca Bezerra";-;-;-;3
"211167 São Roberto";-;-;-;-
"211170 São Vicente Ferrer";2;-;-;2
"211172 Satubinha";-;-;-;-
"211174 Senador Alexandre Costa";-;-;-;3
"211176 Senador La Rocque";-;-;-;-
"211178 Serrano do Maranhão";-;-;-;4
"211180 Sítio Novo";-;-;-;3
"211190 Sucupira do Norte";-;-;-;-
"211195 Sucupira do Riachão";-;-;-;3
"211200 Tasso Fragoso";-;-;-;2
"211210 Timbiras";-;-;-;4
"211220 Timon";8;3;2;20
"211223 Trizidela do Vale";-;-;-;2
"211227 Tufilândia";-;-;-;2
"211230 Tuntum";1;-;1;2
"211240 Turiaçu";-;-;-;2
"211245 Turilândia";-;-;-;-
"211250 Tutóia";-;-;-;-
"211260 Urbano Santos";6;6;4;1
"211270 Vargem Grande";2;-;1;-
"211280 Viana";5;-;-;3
"211285 Vila Nova dos Martírios";-;-;-;1
"211290 Vitória do Mearim";-;-;-;6
"211300 Vitorino Freire";1;2;2;-
"211400 Zé Doca";5;4;4;-
"210000 Município ignorado - MA";-;-;-;-
"220005 Acauã";-;-;-;-
"220010 Agricolândia";-;-;-;-
"220020 Água Branca";-;4;4;-
"220025 Alagoinha do Piauí";-;-;-;-
"220027 Alegrete do Piauí";-;-;-;-
"220030 Alto Longá";-;-;-;-
"220040 Altos";-;-;-;-
"220045 Alvorada do Gurguéia";-;-;-;-
