"Município";"Leitos Repouso/Observação Ped";"Leitos Repouso/Observação Femin";"Leitos Repouso/Observação Masc";"Leitos Repouso/Observação Indif"
"120070 Xapuri";3;-;-;-
"120000 Município ignorado - AC";-;-;-;-
"130002 Alvarães";-;-;-;-
"130006 Amaturá";-;-;-;1
"130008 Anamã";-;-;-;-
"130010 Anori";-;-;-;-
"130014 Apuí";-;-;-;4
"130020 Atalaia do Norte";-;-;-;-
"130030 Autazes";-;7;7;-
"130040 Barcelos";-;-;-;1
"130050 Barreirinha";-;-;-;-
"130060 Benjamin Constant";-;-;-;-
"130063 Beruri";3;3;3;-
"130068 Boa Vista do Ramos";-;-;-;-
"130070 Boca do Acre";-;-;17;4
"130080 Borba";-;-;-;4
"130083 Caapiranga";-;-;-;-
"130090 Canutama";-;-;-;-
"130100 Carauari";-;-;-;-
"130110 Careiro";-;-;-;3
"130115 Careiro da Várzea";-;-;-;-
"130120 Coari";-;5;5;10
"130130 Codajás";2;-;-;-
"130140 Eirunepé";-;-;-;-
"130150 Envira";-;-;-;2
"130160 Fonte Boa";-;-;-;-
"130165 Guajará";-;-;-;2
"130170 Humaitá";-;-;-;1
"130180 Ipixuna";3;-;-;-
"130185 Iranduba";-;-;-;2
"130190 Itacoatiara";6;3;4;1
"130195 Itamarati";-;-;-;-
"130200 Itapiranga";-;-;-;4
"130210 Japurá";-;-;-;-
"130220 Juruá";-;-;-;3
"130230 Jutaí";2;1;1;1
"130240 Lábrea";5;12;12;2
"130250 Manacapuru";-;-;-;10
"130255 Manaquiri";-;-;-;1
"130260 Manaus";12;30;24;137
"130270 Manicoré";-;-;-;2
"130280 Maraã";-;-;-;1
"130290 Maués";-;-;-;-
"130300 Nhamundá";-;-;-;2
"130310 Nova Olinda do Norte";-;-;-;12
"130320 Novo Airão";-;-;-;-
"130330 Novo Aripuanã";1;-;-;3
"130340 Parintins";-;-;-;2
"130350 Pauini";2;2;2;-
"130353 Presidente Figueiredo";-;-;-;5
"130356 Rio Preto da Eva";2;-;-;6
"130360 Santa Isabel do Rio Negro";-;-;-;-
"130370 Santo Antônio do Içá";-;-;-;-
"130380 São Gabriel da Cachoeira";9;12;16;18
"130390 São Paulo de Olivença";-;-;-;1
"130395 São Sebastião do Uatumã";-;-;-;-
"130400 Silves";4;5;5;-
"130406 Tabatinga";-;-;-;2
"130410 Tapauá";4;4;5;3
"130420 Tefé";3;1;2;3
"130423 Tonantins";-;-;-;1
"130426 Uarini";-;-;-;1
"130430 Urucará";-;-;-;-
"130440 Urucurituba";-;-;-;-
"130000 Município ignorado - AM";-;-;-;-
"140005 Alto Alegre";-;-;-;-
"140002 Amajari";-;-;-;2
"140010 Boa Vista";12;4;3;7
"140015 Bonfim";-;-;-;2
"140017 Cantá";-;-;-;4
"140020 Caracaraí";-;1;-;2
"140023 Caroebe";4;5;4;-
"140028 Iracema";-;-;-;-
"140030 Mucajaí";-;-;-;4
"140040 Normandia";-;-;-;3
"140045 Pacaraima";-;-;-;-
"140047 Rorainópolis";-;-;-;2
"140050 São João da Baliza";-;-;-;-
"140060 São Luiz";-;-;-;-
"140070 Uiramutã";-;-;-;-
"140000 Município ignorado - RR";-;-;-;-
"150010 Abaetetuba";1;8;8;9
"150013 Abel Figueiredo";-;-;-;-
"150020 Acará";-;-;-;4
"150030 Afuá";-;-;-;-
"150034 Água Azul do Norte";-;-;-;4
"150040 Alenquer";-;-;-;2
"150050 Almeirim";-;-;-;-
"150060 Altamira";-;1;1;12
"150070 Anajás";-;-;-;-
"150080 Ananindeua";9;15;15;16
"150085 Anapu";-;1;1;1
"150090 Augusto Corrêa";-;-;-;39
"150095 Aurora do Pará";-;-;-;2
"150100 Aveiro";-;1;-;3
"150110 Bagre";-;-;-;-
"150120 Baião";1;1;1;15
"150125 Bannach";-;-;-;4
"150130 Barcarena";-;-;-;7
"150140 Belém";34;25;20;119
"150145 Belterra";-;-;-;2
"150150 Benevides";4;3;3;1
"150157 Bom Jesus do Tocantins";-;-;-;2
"150160 Bonito";-;-;-;-
"150170 Bragança";2;2;2;8
"150172 Brasil Novo";-;-;-;7
"150175 Brejo Grande do Araguaia";-;-;-;4
"150178 Breu Branco";-;-;-;3
"150180 Breves";-;-;-;-
"150190 Bujaru";-;-;-;2
"150200 Cachoeira do Arari";-;-;-;-
"150195 Cachoeira do Piriá";-;-;-;-
"150210 Cametá";2;-;-;10
"150215 Canaã dos Carajás";3;3;3;2
"150220 Capanema";12;4;14;8
"150230 Capitão Poço";2;1;1;9
"150240 Castanhal";9;7;8;8
"150250 Chaves";-;-;-;-
"150260 Colares";-;-;-;-
"150270 Conceição do Araguaia";-;-;-;1
"150275 Concórdia do Pará";-;-;-;-
"150276 Cumaru do Norte";3;3;4;7
"150277 Curionópolis";-;-;-;1
"150280 Curralinho";-;-;-;-
"150285 Curuá";-;3;3;-
"150290 Curuçá";-;-;-;3
"150293 Dom Eliseu";-;-;-;4
"150295 Eldorado do Carajás";-;-;-;-
"150300 Faro";-;-;-;4
"150304 Floresta do Araguaia";1;1;-;-
"150307 Garrafão do Norte";3;3;3;-
"150309 Goianésia do Pará";-;-;-;5
"150310 Gurupá";-;-;-;2
"150320 Igarapé-Açu";-;-;-;7
"150330 Igarapé-Miri";-;-;-;17
"150340 Inhangapi";-;-;-;-
"150345 Ipixuna do Pará";4;9;9;4
"150350 Irituia";3;3;3;-
"150360 Itaituba";-;-;-;3
"150370 Itupiranga";2;-;-;24
"150375 Jacareacanga";-;-;-;1
"150380 Jacundá";2;1;1;7
"150390 Juruti";-;5;5;-
"150400 Limoeiro do Ajuru";-;-;-;6
"150405 Mãe do Rio";-;-;-;-
"150410 Magalhães Barata";-;-;-;6
"150420 Marabá";1;7;6;14
"150430 Maracanã";-;-;-;1
"150440 Marapanim";-;-;-;2
"150442 Marituba";4;4;7;5
"150445 Medicilândia";1;1;1;-
"150450 Melgaço";-;-;-;-
"150460 Mocajuba";-;1;-;-
"150470 Moju";-;-;-;4
"150475 Mojuí dos Campos";-;-;-;-
"150480 Monte Alegre";-;-;-;-
"150490 Muaná";-;-;-;1
"150495 Nova Esperança do Piriá";-;2;2;6
"150497 Nova Ipixuna";-;-;-;-
"150500 Nova Timboteua";2;-;-;2
"150503 Novo Progresso";-;-;-;12
"150506 Novo Repartimento";-;-;-;-
"150510 Óbidos";-;-;-;4
"150520 Oeiras do Pará";-;-;-;1
"150530 Oriximiná";-;-;-;1
"150540 Ourém";-;-;-;3
"150543 Ourilândia do Norte";1;3;3;11
"150548 Pacajá";-;-;-;5
"150549 Palestina do Pará";-;-;-;5
"150550 Paragominas";3;4;4;17
"150553 Parauapebas";10;6;6;11
"150555 Pau D'Arco";-;-;-;-
"150560 Peixe-Boi";-;-;-;4
"150563 Piçarra";1;2;2;7
"150565 Placas";-;-;-;1
"150570 Ponta de Pedras";4;5;4;-
"150580 Portel";-;-;-;-
"150590 Porto de Moz";-;-;-;2
"150600 Prainha";-;-;-;1
"150610 Primavera";-;-;-;-
"150611 Quatipuru";-;-;-;12
"150613 Redenção";6;1;1;18
"150616 Rio Maria";-;-;-;1
"150618 Rondon do Pará";-;-;-;4
"150619 Rurópolis";-;-;-;4
"150620 Salinópolis";-;-;-;31
"150630 Salvaterra";-;-;-;-
"150635 Santa Bárbara do Pará";-;-;-;-
"150640 Santa Cruz do Arari";-;-;-;-
"150650 Santa Izabel do Pará";2;2;2;6
"150655 Santa Luzia do Pará";3;3;3;-
"150658 Santa Maria das Barreiras";-;-;-;-
"150660 Santa Maria do Pará";-;-;-;-
"150670 Santana do Araguaia";-;-;-;1
"150680 Santarém";6;1;1;13
"150690 Santarém Novo";-;-;-;5
"150700 Santo Antônio do Tauá";-;-;-;-
"150710 São Caetano de Odivelas";-;-;-;-
"150715 São Domingos do Araguaia";-;-;-;2
"150720 São Domingos do Capim";-;-;-;2
"150730 São Félix do Xingu";5;4;-;43
"150740 São Francisco do Pará";-;-;-;2
"150745 São Geraldo do Araguaia";-;-;-;5
"150746 São João da Ponta";2;2;2;-
"150747 São João de Pirabas";-;-;-;3
"150750 São João do Araguaia";-;-;-;2
"150760 São Miguel do Guamá";-;-;-;7
"150770 São Sebastião da Boa Vista";-;2;2;-
"150775 Sapucaia";-;-;-;5
"150780 Senador José Porfírio";-;-;-;2
"150790 Soure";-;-;-;-
"150795 Tailândia";-;1;1;1
"150796 Terra Alta";-;2;3;-
"150797 Terra Santa";-;-;-;-
"150800 Tomé-Açu";-;-;-;13
"150803 Tracuateua";-;-;-;5
"150805 Trairão";-;-;-;1
"150808 Tucumã";12;9;6;6
"150810 Tucuruí";-;-;-;38
"150812 Ulianópolis";3;-;-;3
"150815 Uruará";-;-;-;-
"150820 Vigia";-;-;-;-
"150830 Viseu";-;-;-;6
"150835 Vitória do Xingu";-;-;-;7
"150840 Xinguara";5;-;-;14
"150000 Município ignorado - PA";-;-;-;-
"160010 Amapá";-;-;-;2
"160020 Calçoene";5;4;9;5
"160021 Cutias";-;-;-;-
"160023 Ferreira Gomes";-;-;-;-
"160025 Itaubal";4;-;-;10
"160027 Laranjal do Jari";-;-;-;-
"160030 Macapá";7;13;8;40
"160040 Mazagão";1;-;-;5
"160050 Oiapoque";2;6;4;9
"160015 Pedra Branca do Amapari";-;-;-;2
"160053 Porto Grande";4;3;3;3
"160055 Pracuúba";-;-;-;10
"160060 Santana";2;-;-;12
"160005 Serra do Navio";-;-;-;7
"160070 Tartarugalzinho";-;-;-;-
"160080 Vitória do Jari";-;-;-;3
"160000 Município ignorado - AP";-;-;-;-
"170025 Abreulândia";-;-;-;5
"170030 Aguiarnópolis";-;-;-;-
"170035 Aliança do Tocantins";8;9;2;-
"170040 Almas";-;-;-;-
"170070 Alvorada";-;-;-;2
"170100 Ananás";-;-;-;-
"170105 Angico";-;-;-;-
"170110 Aparecida do Rio Negro";-;6;6;-
"170130 Aragominas";-;-;-;6
"170190 Araguacema";3;1;1;-
"170200 Araguaçu";-;-;-;4
"170210 Araguaína";-;6;4;32
"170215 Araguanã";-;3;3;-
"170220 Araguatins";-;-;-;2
"170230 Arapoema";-;-;-;-
"170240 Arraias";-;-;-;-
"170255 Augustinópolis";-;-;-;-
"170270 Aurora do Tocantins";-;-;-;-
"170290 Axixá do Tocantins";-;5;5;-
"170300 Babaçulândia";-;4;3;-
"170305 Bandeirantes do Tocantins";-;-;-;-
"170307 Barra do Ouro";-;-;-;-
"170310 Barrolândia";-;-;-;-
"170320 Bernardo Sayão";-;-;-;2
"170330 Bom Jesus do Tocantins";-;-;-;-
"170360 Brasilândia do Tocantins";3;3;3;-
"170370 Brejinho de Nazaré";-;-;-;-
"170380 Buriti do Tocantins";-;-;-;8
"170382 Cachoeirinha";-;-;-;-
"170384 Campos Lindos";-;-;-;5
"170386 Cariri do Tocantins";-;-;5;1
"170388 Carmolândia";-;-;-;3
"170389 Carrasco Bonito";-;-;-;-
"170390 Caseara";-;4;4;-
"170410 Centenário";-;-;-;3
"170510 Chapada da Natividade";-;-;-;-
"170460 Chapada de Areia";-;-;-;3
"170550 Colinas do Tocantins";-;1;1;-
"171670 Colméia";-;-;-;-
"170555 Combinado";-;-;-;-
"170560 Conceição do Tocantins";-;5;5;-
"170600 Couto Magalhães";-;3;3;-
"170610 Cristalândia";-;-;-;-
"170625 Crixás do Tocantins";-;3;2;-
"170650 Darcinópolis";-;-;-;3
"170700 Dianópolis";-;-;-;-
"170710 Divinópolis do Tocantins";-;-;-;-
"170720 Dois Irmãos do Tocantins";-;-;-;-
"170730 Dueré";-;-;-;-
"170740 Esperantina";-;6;4;-
"170755 Fátima";-;-;-;-
"170765 Figueirópolis";-;-;-;-
"170770 Filadélfia";3;-;-;-
"170820 Formoso do Araguaia";-;-;-;8
"170825 Fortaleza do Tabocão";-;3;3;-
"170830 Goianorte";-;-;-;-
"170900 Goiatins";-;-;-;-
"170930 Guaraí";4;4;4;-
"170950 Gurupi";6;-;-;11
"170980 Ipueiras";-;-;-;-
"171050 Itacajá";3;4;4;3
"171070 Itaguatins";-;-;-;3
"171090 Itapiratins";-;2;2;-
"171110 Itaporã do Tocantins";-;-;-;-
"171150 Jaú do Tocantins";-;-;-;-
"171180 Juarina";-;-;-;-
"171190 Lagoa da Confusão";-;-;-;-
"171195 Lagoa do Tocantins";-;4;4;-
"171200 Lajeado";-;-;-;2
"171215 Lavandeira";-;3;3;-
"171240 Lizarda";-;7;6;-
"171245 Luzinópolis";-;-;-;3
"171250 Marianópolis do Tocantins";-;-;-;-
"171270 Mateiros";-;-;-;3
"171280 Maurilândia do Tocantins";-;-;-;6
"171320 Miracema do Tocantins";-;-;-;-
"171330 Miranorte";-;-;-;-
"171360 Monte do Carmo";2;4;4;-
"171370 Monte Santo do Tocantins";-;-;-;2
"171395 Muricilândia";-;4;4;-
"171420 Natividade";-;-;-;-
"171430 Nazaré";-;-;-;10
"171488 Nova Olinda";-;-;-;-
"171500 Nova Rosalândia";-;-;-;-
"171510 Novo Acordo";-;8;6;-
"171515 Novo Alegre";-;-;-;-
"171525 Novo Jardim";-;-;-;-
"171550 Oliveira de Fátima";-;-;-;-
"172100 Palmas";17;1;1;80
"171570 Palmeirante";-;-;-;-
"171380 Palmeiras do Tocantins";-;-;-;2
"171575 Palmeirópolis";-;-;-;13
"171610 Paraíso do Tocantins";-;-;-;-
"171620 Paranã";-;-;-;1
"171630 Pau D'Arco";-;-;-;1
"171650 Pedro Afonso";-;-;-;-
"171660 Peixe";-;-;-;6
"171665 Pequizeiro";-;-;-;-
"171700 Pindorama do Tocantins";-;-;-;-
"171720 Piraquê";3;7;7;-
"171750 Pium";8;6;6;-
"171780 Ponte Alta do Bom Jesus";-;-;-;-
"171790 Ponte Alta do Tocantins";-;-;-;-
"171800 Porto Alegre do Tocantins";-;3;2;-
"171820 Porto Nacional";-;-;-;-
"171830 Praia Norte";-;-;-;-
"171840 Presidente Kennedy";-;-;-;-
"171845 Pugmil";-;-;-;-
"171850 Recursolândia";-;-;-;3
"171855 Riachinho";-;-;-;-
"171865 Rio da Conceição";-;-;-;-
"171870 Rio dos Bois";-;-;-;-
"171875 Rio Sono";-;-;-;-
"171880 Sampaio";-;-;-;-
"171884 Sandolândia";-;-;-;-
"171886 Santa Fé do Araguaia";-;-;-;-
"171888 Santa Maria do Tocantins";-;-;-;2
"171889 Santa Rita do Tocantins";-;-;-;1
"171890 Santa Rosa do Tocantins";2;3;1;-
"171900 Santa Tereza do Tocantins";-;-;-;4
"172000 Santa Terezinha do Tocantins";-;-;-;-
"172010 São Bento do Tocantins";-;-;-;-
"172015 São Félix do Tocantins";-;-;-;-
"172020 São Miguel do Tocantins";-;-;-;-
"172025 São Salvador do Tocantins";-;-;-;8
"172030 São Sebastião do Tocantins";-;4;5;-
"172049 São Valério";-;-;-;-
"172065 Silvanópolis";3;4;5;-
"172080 Sítio Novo do Tocantins";-;-;-;-
"172085 Sucupira";-;-;-;-
"172090 Taguatinga";-;-;-;-
"172093 Taipas do Tocantins";-;-;-;3
"172097 Talismã";-;-;-;2
"172110 Tocantínia";2;2;3;2
"172120 Tocantinópolis";-;-;-;10
"172125 Tupirama";-;-;-;-
"172130 Tupiratins";-;-;-;-
"172208 Wanderlândia";-;-;-;4
"172210 Xambioá";-;-;-;-
"170000 Município ignorado - TO";-;-;-;-
"210005 Açailândia";7;6;4;19
"210010 Afonso Cunha";-;-;-;-
"210015 Água Doce do Maranhão";-;-;-;-
"210020 Alcântara";-;-;-;-
"210030 Aldeias Altas";-;-;-;2
"210040 Altamira do Maranhão";-;3;3;4
"210043 Alto Alegre do Maranhão";-;-;-;5
"210047 Alto Alegre do Pindaré";-;-;-;5
"210050 Alto Parnaíba";5;6;6;-
"210055 Amapá do Maranhão";-;3;2;-
"210060 Amarante do Maranhão";-;2;2;7
"210070 Anajatuba";-;-;-;-
"210080 Anapurus";-;-;-;1
"210083 Apicum-Açu";-;-;-;-
"210087 Araguanã";-;-;-;18
"210090 Araioses";-;-;-;-
"210095 Arame";10;6;6;-
"210100 Arari";-;-;-;2
"210110 Axixá";6;6;5;-
"210120 Bacabal";20;20;2;7
"210125 Bacabeira";2;2;2;3
"210130 Bacuri";-;-;-;-
"210135 Bacurituba";-;-;-;2
"210140 Balsas";2;1;1;16
"210150 Barão de Grajaú";-;1;1;-
"210160 Barra do Corda";20;20;-;7
"210170 Barreirinhas";-;-;-;-
"210177 Bela Vista do Maranhão";-;-;-;-
"210173 Belágua";-;-;-;5
"210180 Benedito Leite";-;-;-;-
"210190 Bequimão";-;-;-;3
"210193 Bernardo do Mearim";-;-;-;-
"210197 Boa Vista do Gurupi";-;-;-;15
"210200 Bom Jardim";-;-;-;15
"210203 Bom Jesus das Selvas";-;-;-;3
"210207 Bom Lugar";-;-;-;-
"210210 Brejo";-;-;-;2
"210215 Brejo de Areia";-;-;-;6
"210220 Buriti";-;-;-;-
"210230 Buriti Bravo";-;-;-;-
"210232 Buriticupu";1;1;1;21
"210235 Buritirana";-;-;-;-
"210237 Cachoeira Grande";-;-;-;1
"210240 Cajapió";1;-;-;-
"210250 Cajari";-;-;-;-
"210255 Campestre do Maranhão";-;-;-;-
"210260 Cândido Mendes";2;6;2;4
"210270 Cantanhede";-;-;-;-
"210275 Capinzal do Norte";-;-;-;2
"210280 Carolina";-;-;-;-
"210290 Carutapera";-;-;-;-
"210300 Caxias";6;11;9;4
"210310 Cedral";-;-;-;-
"210312 Central do Maranhão";-;-;-;-
"210315 Centro do Guilherme";-;-;-;1
"210317 Centro Novo do Maranhão";-;-;-;31
"210320 Chapadinha";-;-;-;4
"210325 Cidelândia";-;-;-;1
"210330 Codó";-;-;-;15
"210340 Coelho Neto";-;3;3;9
"210350 Colinas";7;3;1;14
"210355 Conceição do Lago-Açu";-;-;-;-
"210360 Coroatá";-;-;-;-
"210370 Cururupu";-;-;-;2
"210375 Davinópolis";-;-;-;2
"210380 Dom Pedro";-;-;-;2
"210390 Duque Bacelar";-;-;-;-
"210400 Esperantinópolis";-;-;-;-
"210405 Estreito";-;-;-;-
"210407 Feira Nova do Maranhão";5;5;5;-
"210408 Fernando Falcão";-;-;-;-
"210409 Formosa da Serra Negra";-;-;-;1
"210410 Fortaleza dos Nogueiras";-;-;-;-
"210420 Fortuna";12;4;4;-
"210430 Godofredo Viana";-;-;-;-
"210440 Gonçalves Dias";-;-;-;-
"210450 Governador Archer";-;-;-;6
"210455 Governador Edison Lobão";-;-;-;-
"210460 Governador Eugênio Barros";-;-;-;-
"210462 Governador Luiz Rocha";-;-;-;-
"210465 Governador Newton Bello";-;-;-;-
"210467 Governador Nunes Freire";-;-;-;2
"210470 Graça Aranha";-;-;-;-
"210480 Grajaú";26;5;5;11
"210490 Guimarães";-;-;-;-
"210500 Humberto de Campos";-;-;-;-
"210510 Icatu";-;-;-;-
"210515 Igarapé do Meio";-;-;-;-
"210520 Igarapé Grande";-;-;-;-
"210530 Imperatriz";3;7;7;20
"210535 Itaipava do Grajaú";-;-;-;-
"210540 Itapecuru Mirim";-;-;-;7
"210542 Itinga do Maranhão";-;-;-;2
"210545 Jatobá";-;-;-;3
"210547 Jenipapo dos Vieiras";-;3;-;-
"210550 João Lisboa";-;3;3;-
"210560 Joselândia";-;-;-;-
"210565 Junco do Maranhão";-;-;-;11
"210570 Lago da Pedra";1;1;-;4
"210580 Lago do Junco";-;-;-;3
"210594 Lago dos Rodrigues";-;-;-;-
"210590 Lago Verde";-;-;-;-
"210592 Lagoa do Mato";-;-;-;3
"210596 Lagoa Grande do Maranhão";-;-;-;-
"210598 Lajeado Novo";-;-;-;4
"210600 Lima Campos";-;-;-;-
"210610 Loreto";1;1;1;-
"210620 Luís Domingues";-;-;-;-
"210630 Magalhães de Almeida";-;-;-;2
"210632 Maracaçumé";-;-;-;-
"210635 Marajá do Sena";-;-;-;-
"210637 Maranhãozinho";-;2;2;6
"210640 Mata Roma";-;-;-;9
"210650 Matinha";-;-;-;-
"210660 Matões";-;-;-;12
"210663 Matões do Norte";-;-;-;4
"210667 Milagres do Maranhão";-;-;-;2
"210670 Mirador";-;-;-;-
"210675 Miranda do Norte";-;-;-;2
"210680 Mirinzal";-;-;-;3
"210690 Monção";-;-;-;1
"210700 Montes Altos";-;-;-;-
"210710 Morros";-;-;-;-
"210720 Nina Rodrigues";-;-;-;-
"210725 Nova Colinas";-;-;-;-
"210730 Nova Iorque";-;-;-;-
"210735 Nova Olinda do Maranhão";-;-;-;-
"210740 Olho d'Água das Cunhãs";-;-;-;-
"210745 Olinda Nova do Maranhão";2;1;1;-
"210750 Paço do Lumiar";-;-;-;1
"210760 Palmeirândia";-;-;-;2
"210770 Paraibano";-;-;-;1
"210780 Parnarama";1;-;-;3
"210790 Passagem Franca";-;-;-;-
"210800 Pastos Bons";-;-;-;3
"210805 Paulino Neves";-;9;9;2
"210810 Paulo Ramos";-;-;-;-
"210820 Pedreiras";-;2;2;3
"210825 Pedro do Rosário";-;-;-;-
"210830 Penalva";-;-;-;2
"210840 Peri Mirim";-;-;-;-
"210845 Peritoró";-;-;-;-
"210850 Pindaré-Mirim";-;-;-;4
"210860 Pinheiro";6;3;2;4
"210870 Pio XII";-;-;-;-
"210880 Pirapemas";-;-;-;-
"210890 Poção de Pedras";-;-;-;7
"210900 Porto Franco";-;-;-;-
"210905 Porto Rico do Maranhão";3;6;5;-
"210910 Presidente Dutra";-;2;2;-
"210920 Presidente Juscelino";-;-;-;-
"210923 Presidente Médici";2;4;4;-
"210927 Presidente Sarney";-;-;-;-
"210930 Presidente Vargas";-;-;-;-
"210940 Primeira Cruz";-;-;-;-
"210945 Raposa";-;-;-;1
"210950 Riachão";-;2;2;-
"210955 Ribamar Fiquene";-;-;-;-
"210960 Rosário";-;-;-;-
"210970 Sambaíba";-;-;-;-
"210975 Santa Filomena do Maranhão";-;-;-;-
"210980 Santa Helena";-;-;-;1
"210990 Santa Inês";-;-;-;14
"211000 Santa Luzia";-;-;-;-
"211003 Santa Luzia do Paruá";-;-;-;-
"211010 Santa Quitéria do Maranhão";-;-;-;1
"211020 Santa Rita";-;3;3;6
"211023 Santana do Maranhão";-;-;-;-
"211027 Santo Amaro do Maranhão";-;-;-;1
"211030 Santo Antônio dos Lopes";-;-;-;2
"211040 São Benedito do Rio Preto";3;4;4;4
"211050 São Bento";-;8;8;3
"211060 São Bernardo";-;-;-;5
"211065 São Domingos do Azeitão";-;1;1;-
"211070 São Domingos do Maranhão";-;-;-;-
"211080 São Félix de Balsas";-;3;-;2
"211085 São Francisco do Brejão";-;-;-;1
"211090 São Francisco do Maranhão";-;-;-;-
"211100 São João Batista";-;-;-;-
"211102 São João do Carú";2;1;1;-
"211105 São João do Paraíso";-;-;-;-
"211107 São João do Soter";-;-;-;-
"211110 São João dos Patos";-;-;-;-
"211120 São José de Ribamar";-;-;-;-
"211125 São José dos Basílios";-;-;-;-
"211130 São Luís";24;13;14;78
"211140 São Luís Gonzaga do Maranhão";-;-;-;-
"211150 São Mateus do Maranhão";-;-;-;2
"211153 São Pedro da Água Branca";-;-;-;-
"211157 São Pedro dos Crentes";-;-;-;-
"211160 São Raimundo das Mangabeiras";-;-;-;-
"211163 São Raimundo do Doca Bezerra";-;-;-;-
"211167 São Roberto";-;-;-;4
"211170 São Vicente Ferrer";-;-;-;2
"211172 Satubinha";-;-;-;-
"211174 Senador Alexandre Costa";-;-;-;3
"211176 Senador La Rocque";-;-;-;7
"211178 Serrano do Maranhão";-;-;-;-
"211180 Sítio Novo";-;-;-;5
"211190 Sucupira do Norte";-;-;-;-
"211195 Sucupira do Riachão";-;-;-;-
"211200 Tasso Fragoso";-;-;-;-
"211210 Timbiras";-;-;-;2
"211220 Timon";-;1;1;1
"211223 Trizidela do Vale";-;-;-;-
"211227 Tufilândia";-;2;2;1
"211230 Tuntum";-;-;-;1
"211240 Turiaçu";-;-;-;1
"211245 Turilândia";1;3;3;19
"211250 Tutóia";-;-;-;-
"211260 Urbano Santos";6;1;1;-
"211270 Vargem Grande";-;-;-;1
"211280 Viana";-;-;-;8
"211285 Vila Nova dos Martírios";1;1;1;-
"211290 Vitória do Mearim";-;-;-;2
"211300 Vitorino Freire";-;-;-;-
"211400 Zé Doca";-;-;-;3
"210000 Município ignorado - MA";-;-;-;-
"220005 Acauã";-;-;3;7
"220010 Agricolândia";-;-;-;3
"220020 Água Branca";-;-;-;-
"220025 Alagoinha do Piauí";-;-;-;1
"220027 Alegrete do Piauí";-;-;-;-
"220030 Alto Longá";-;-;-;-
"220040 Altos";-;-;-;3
"220045 Alvorada do Gurguéia";-;-;-;-
